unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-08-11,4,1,1,1,0.0
2023-08-12,5,2,1,1,1.0
2023-08-13,6,3,1,1,2.0
2023-08-14,0,4,1,1,3.0
2023-08-18,4,5,2,2,7.0
2023-08-19,5,6,2,2,8.0
2023-08-20,6,7,2,2,9.0
2023-08-21,0,8,2,2,10.0
2023-08-25,4,9,3,3,14.0
2023-08-26,5,10,3,3,15.0
2023-08-27,6,11,3,3,16.0
2023-09-01,4,12,4,4,21.0
2023-09-02,5,13,4,4,22.0
2023-09-03,6,14,4,4,23.0
2023-09-16,5,15,6,5,36.0
2023-09-17,6,16,6,5,37.0
2023-09-18,0,17,6,5,38.0
2023-09-23,5,18,7,6,43.0
2023-09-24,6,19,7,6,44.0
2023-09-30,5,20,8,7,50.0
2023-10-01,6,21,8,7,51.0
2023-10-02,0,22,8,7,52.0
2023-10-07,5,23,9,8,57.0
2023-10-21,5,24,11,9,71.0
2023-10-28,5,25,12,10,78.0
2023-11-04,5,26,13,11,85.0
2023-11-11,5,27,14,12,92.0
2023-11-25,5,28,16,13,106.0
2023-12-02,5,29,17,15,113.0
2023-12-05,1,30,17,15,116.0
2023-12-06,2,31,17,15,117.0
2023-12-09,5,32,18,16,120.0
2023-12-16,5,33,19,17,127.0
2023-12-23,5,34,20,19,134.0
2023-12-26,1,35,20,19,137.0
2023-12-30,5,36,21,20,141.0
2024-01-13,5,37,23,21,155.0
2024-01-30,1,38,25,22,172.0
2024-01-31,2,39,25,22,173.0
2024-02-03,5,40,26,23,176.0
2024-02-10,5,41,27,24,183.0
2024-02-17,5,42,28,25,190.0
2024-02-24,5,43,29,26,197.0
2024-03-02,5,44,30,27,204.0
2024-03-09,5,45,31,28,211.0
2024-03-16,5,46,32,29,218.0
2024-03-30,5,47,34,31,232.0
2024-04-02,1,48,34,31,235.0
2024-04-03,2,49,34,31,236.0
2024-04-06,5,50,35,32,239.0
2024-04-13,5,51,36,33,246.0
2024-04-20,5,52,37,34,253.0
2024-04-27,5,53,38,35,260.0
2024-05-04,5,54,39,36,267.0
2024-05-11,5,55,40,37,274.0
2024-05-19,6,56,41,38,282.0
