unique_dates,weekday,matchday,fpl_gw,days_elapsed
2023-11-04,5,1,11,0.0
2023-11-05,6,2,11,1.0
2023-11-06,0,3,11,2.0
2023-11-11,5,4,12,7.0
2023-11-12,6,5,12,8.0
2023-11-25,5,6,13,21.0
2023-11-26,6,7,13,22.0
2023-11-27,0,8,13,23.0
2023-12-02,5,9,14,28.0
2023-12-03,6,10,14,29.0
2023-12-05,1,11,15,31.0
2023-12-06,2,12,15,32.0
2023-12-07,3,13,15,33.0
2023-12-09,5,14,16,35.0
2023-12-10,6,15,16,36.0
2023-12-15,4,16,17,41.0
2023-12-16,5,17,17,42.0
2023-12-17,6,18,17,43.0
2023-12-21,3,19,17,47.0
2023-12-22,4,20,18,48.0
2023-12-23,5,21,18,49.0
2023-12-24,6,22,18,50.0
2023-12-26,1,23,19,52.0
2023-12-27,2,24,19,53.0
2023-12-28,3,25,19,54.0
2023-12-30,5,26,20,56.0
2023-12-31,6,27,20,57.0
2024-01-01,0,28,20,58.0
2024-01-02,1,29,20,59.0
2024-01-13,5,30,21,70.0
2024-01-14,6,31,21,71.0
2024-01-15,0,32,21,72.0
2024-01-20,5,33,21,77.0
2024-01-21,6,34,21,78.0
2024-01-22,0,35,21,79.0
2024-01-30,1,36,22,87.0
2024-01-31,2,37,22,88.0
2024-02-03,5,38,23,91.0
2024-02-10,5,39,24,98.0
2024-02-17,5,40,25,105.0
2024-02-24,5,41,26,112.0
2024-03-02,5,42,27,119.0
2024-03-09,5,43,28,126.0
2024-03-16,5,44,29,133.0
2024-03-30,5,45,30,147.0
2024-04-02,1,46,31,150.0
2024-04-03,2,47,31,151.0
2024-04-06,5,48,32,154.0
2024-04-13,5,49,33,161.0
2024-04-20,5,50,34,168.0
2024-04-27,5,51,35,175.0
2024-05-04,5,52,36,182.0
2024-05-11,5,53,37,189.0
2024-05-19,6,54,38,197.0
