unique_dates,weekday,matchday,sky_gw,fpl_gw,days_elapsed
2023-09-16,5,1,6,5,0.0
2023-09-17,6,2,6,5,1.0
2023-09-18,0,3,6,5,2.0
2023-09-23,5,4,7,6,7.0
2023-09-24,6,5,7,6,8.0
2023-09-30,5,6,8,7,14.0
2023-10-01,6,7,8,7,15.0
2023-10-02,0,8,8,7,16.0
2023-10-03,1,9,8,7,17.0
2023-10-07,5,10,9,8,21.0
2023-10-08,6,11,9,8,22.0
2023-10-21,5,12,11,9,35.0
2023-10-22,6,13,11,9,36.0
2023-10-23,0,14,11,9,37.0
2023-10-27,4,15,12,10,41.0
2023-10-28,5,16,12,10,42.0
2023-10-29,6,17,12,10,43.0
2023-11-04,5,18,13,11,49.0
2023-11-05,6,19,13,11,50.0
2023-11-06,0,20,13,11,51.0
2023-11-11,5,21,14,12,56.0
2023-11-12,6,22,14,12,57.0
2023-11-25,5,23,16,13,70.0
2023-12-02,5,24,17,14,77.0
2023-12-05,1,25,17,15,80.0
2023-12-06,2,26,17,15,81.0
2023-12-09,5,27,18,16,84.0
2023-12-16,5,28,19,17,91.0
2023-12-23,5,29,20,18,98.0
2023-12-26,1,30,20,19,101.0
2023-12-30,5,31,21,20,105.0
2024-01-13,5,32,23,21,119.0
2024-01-30,1,33,25,22,136.0
2024-01-31,2,34,25,22,137.0
2024-02-03,5,35,26,23,140.0
2024-02-10,5,36,27,24,147.0
2024-02-17,5,37,28,25,154.0
2024-02-24,5,38,29,26,161.0
2024-03-02,5,39,30,27,168.0
2024-03-09,5,40,31,28,175.0
2024-03-16,5,41,32,29,182.0
2024-03-30,5,42,34,30,196.0
2024-04-02,1,43,34,31,199.0
2024-04-03,2,44,34,31,200.0
2024-04-06,5,45,35,32,203.0
2024-04-13,5,46,36,33,210.0
2024-04-20,5,47,37,34,217.0
2024-04-27,5,48,38,35,224.0
2024-05-04,5,49,39,36,231.0
2024-05-11,5,50,40,37,238.0
2024-05-19,6,51,41,38,246.0
