Pos,fpl_id,Name,BV,SV,Team,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,Elite%
F,1,Balogun,4.5,4.5,Arsenal,1,3,2,1,2,2,2,2,3,3,3,3,0.0
D,2,Cédric,4.0,4.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,3,M.Elneny,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,4,Fábio Vieira,5.5,5.5,Arsenal,6,8,7,5,6,7,6,9,9,8,9,9,0.0
D,5,Gabriel,5.0,5.0,Arsenal,67,72,70,70,70,67,67,66,67,67,63,64,0.6
M,6,Havertz,7.5,7.5,Arsenal,74,71,66,62,60,60,59,60,61,59,60,59,0.18
D,7,Holding,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
F,8,G.Jesus,8.0,8.0,Arsenal,0,0,25,71,73,71,71,70,71,71,70,70,0.0
M,9,Jorginho,5.5,5.5,Arsenal,22,20,18,17,18,18,20,20,21,20,20,21,0.0
D,10,Kiwior,4.5,4.5,Arsenal,22,18,15,11,14,16,16,18,19,19,18,18,0.0
M,11,Marquinhos,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
M,12,Martinelli,8.0,8.0,Arsenal,80,80,76,72,72,71,68,67,69,68,69,70,0.44
F,13,Nketiah,5.5,5.5,Arsenal,40,39,32,18,17,17,17,17,16,15,16,14,0.0
M,14,Ødegaard,8.5,8.5,Arsenal,88,83,85,82,81,80,79,80,78,80,78,80,0.13
M,15,Thomas,5.0,5.0,Arsenal,77,72,67,63,62,64,64,61,61,62,62,61,0.0
M,16,Pepe,5.0,5.0,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0.0
G,17,Ramsdale,5.0,5.0,Arsenal,92,85,77,61,48,47,49,45,47,44,49,91,0.0
