,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,6.44,7.93,0.0,0.0,0.0,8.45,0.0,6.54,0.0,0.0,8.36,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0,7.33,0.0,9.26,0.0,0.0,6.49,5.61,0.0,0.0,0.0,0.0,0.0,0.0,74.49
1,351,Mohamed Salah,LIV,MID,11.5,0.0,7.73,4.54,0.0,0.0,0.0,7.99,0.0,7.29,0.0,5.92,0.0,0.0,0.0,6.58,0.0,0.0,5.58,0.0,6.1,0.0,0.0,0.0,0.0,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.51
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,7.56,0.0,5.39,0.0,0.0,6.11,0.0,4.25,0.0,5.17,0.0,0.0,0.0,5.09,0.0,7.66,0.0,0.0,4.83,0.0,0.0,6.46,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,5.35,63.35999999999999
3,21,Bukayo Saka,ARS,MID,10.4,5.77,0.0,4.33,0.0,0.0,5.92,0.0,4.92,0.0,0.0,4.16,0.0,0.0,0.0,5.03,0.0,0.0,4.13,0.0,0.0,0.0,5.39,0.0,4.68,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,4.71,54.51
4,1175,Kieran Trippier,NEW,DEF,9.1,6.35,0.0,5.64,0.0,0.0,5.63,0.0,0.0,0.0,6.05,0.0,3.53,0.0,6.49,0.0,0.0,0.0,6.13,0.0,7.39,0.0,0.0,0.0,0.0,3.32,0.0,4.02,0.0,0.0,0.0,0.0,0.0,4.64,59.19
5,525,Son Heung-min,TOT,MID,9.7,6.01,0.0,0.0,5.91,0.0,0.0,3.64,0.0,0.0,6.39,0.0,4.96,5.65,0.0,0.0,0.0,0.0,6.15,0.0,0.0,0.0,4.99,0.0,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,51.22
6,13,William Saliba,ARS,DEF,9.0,6.34,0.0,4.58,0.0,0.0,6.58,0.0,5.87,0.0,0.0,3.94,0.0,0.0,0.0,3.98,0.0,0.0,2.84,0.0,0.0,0.0,5.81,0.0,4.89,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0,5.9,57.32
7,327,James Maddison,TOT,MID,9.3,5.29,0.0,0.0,4.7,0.0,0.0,2.9,0.0,0.0,5.69,0.0,3.83,4.99,0.0,0.0,0.0,0.0,5.39,0.0,0.0,0.0,3.8,0.0,5.69,0.0,0.0,0.0,3.98,0.0,0.0,0.0,0.0,5.05,51.309999999999995
8,1072,Cristian Romero,TOT,DEF,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.73,0.0,4.12,5.62,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,2.84,0.0,6.06,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,5.31,39.02
9,610,Jarrod Bowen,WHU,MID,8.8,0.0,5.1,3.96,0.0,0.0,0.0,4.45,0.0,0.0,3.7,0.0,3.97,0.0,0.0,4.79,0.0,0.0,4.28,0.0,0.0,0.0,3.2,0.0,0.0,0.0,4.24,0.0,0.0,0.0,0.0,4.19,0.0,4.99,46.87
10,373,Ederson,MCI,GK,7.8,0.0,4.73,4.6,0.0,0.0,0.0,4.88,0.0,4.98,0.0,0.0,6.44,0.0,6.84,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,6.52,0.0,0.0,4.51,4.41,0.0,0.0,0.0,0.0,0.0,0.0,53.739999999999995
11,400,Kyle Walker,MCI,DEF,8.6,0.0,3.57,3.56,0.0,0.0,0.0,3.59,0.0,3.66,0.0,0.0,5.64,0.0,5.81,0.0,0.0,0.0,0.0,0.0,0.0,4.88,0.0,5.34,0.0,0.0,3.62,3.13,0.0,0.0,0.0,0.0,0.0,0.0,42.8
12,1320,Julián Álvarez,MCI,FOR,8.6,0.0,4.05,4.31,0.0,0.0,0.0,4.51,0.0,3.64,0.0,0.0,4.48,0.0,4.61,0.0,0.0,0.0,0.0,0.0,0.0,3.88,0.0,4.47,0.0,0.0,3.26,3.05,0.0,0.0,0.0,0.0,0.0,0.0,40.25999999999999
13,1275,Darwin Núñez,LIV,FOR,9.4,0.0,4.64,2.07,0.0,0.0,0.0,3.91,0.0,3.7,0.0,3.07,0.0,0.0,0.0,3.45,0.0,0.0,3.02,0.0,3.19,0.0,0.0,0.0,0.0,3.16,0.0,0.0,0.0,0.0,0.0,4.33,0.0,0.0,34.54
14,417,Marcus Rashford,MUN,MID,10.9,5.95,0.0,0.0,5.58,0.0,4.25,0.0,0.0,5.94,0.0,7.38,0.0,0.0,0.0,4.39,0.0,0.0,5.45,0.0,5.56,0.0,0.0,5.24,0.0,0.0,0.0,0.0,6.05,0.0,0.0,0.0,0.0,5.65,61.440000000000005
15,121,Nick Pope,NEW,GK,7.6,5.22,0.0,4.94,0.0,0.0,5.05,0.0,0.0,0.0,5.49,0.0,4.28,0.0,5.49,0.0,0.0,0.0,5.04,0.0,5.99,0.0,0.0,0.0,0.0,3.81,0.0,4.07,0.0,0.0,0.0,0.0,0.0,4.81,54.19000000000001
16,810,Martin Ødegaard,ARS,MID,10.3,3.12,0.0,3.94,0.0,0.0,5.4,0.0,4.51,0.0,0.0,3.67,0.0,0.0,0.0,4.58,0.0,0.0,3.67,0.0,0.0,0.0,5.13,0.0,4.23,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,4.22,47.44
17,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,6.24,2.73,0.0,0.0,0.0,6.37,0.0,6.86,0.0,6.46,0.0,0.0,0.0,4.62,0.0,0.0,3.56,0.0,5.41,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0,0.0,0.0,5.59,0.0,0.0,52.03
18,100,Lewis Dunk,BHA,DEF,8.3,0.0,7.52,6.09,0.0,0.0,0.0,4.39,0.0,5.73,0.0,6.23,0.0,0.0,0.0,3.57,6.02,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,6.73,6.59,62.75
19,598,Declan Rice,ARS,MID,8.1,4.65,0.0,3.89,0.0,0.0,4.67,0.0,4.56,0.0,0.0,3.22,0.0,0.0,0.0,3.38,0.0,0.0,2.93,0.0,0.0,0.0,4.77,0.0,3.74,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,4.37,45.199999999999996
20,895,Bryan Mbeumo,BRE,MID,8.3,0.0,5.12,5.16,0.0,0.0,7.08,0.0,0.0,4.99,0.0,5.77,0.0,0.0,0.0,5.61,0.0,0.0,0.0,0.0,0.0,6.57,0.0,4.63,0.0,0.0,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.36,48.14000000000001
21,1260,Kaoru Mitoma,BHA,MID,8.0,0.0,5.99,4.69,0.0,0.0,0.0,4.07,0.0,4.62,0.0,4.73,0.0,0.0,0.0,3.51,3.93,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.19
22,1435,Alexander Isak,NEW,FOR,9.0,0.0,0.0,0.75,0.0,0.0,2.34,0.0,0.0,0.0,2.77,0.0,3.51,0.0,5.62,0.0,0.0,0.0,4.3,0.0,5.66,0.0,0.0,0.0,0.0,3.72,0.0,3.07,0.0,0.0,0.0,0.0,0.0,3.46,35.199999999999996
23,710,Rúben Dias,MCI,DEF,9.7,0.0,4.6,4.56,0.0,0.0,0.0,4.51,0.0,4.61,0.0,0.0,6.65,0.0,6.79,0.0,0.0,0.0,0.0,0.0,0.0,5.83,0.0,6.35,0.0,0.0,4.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4
24,35,Matty Cash,AVL,DEF,7.7,0.0,4.12,0.0,2.96,0.0,0.0,4.24,0.0,2.39,0.0,3.08,0.0,0.0,0.0,2.87,0.0,5.14,0.0,0.0,2.66,0.0,0.0,4.38,0.0,0.0,0.0,0.0,3.67,0.0,0.0,0.0,0.0,3.51,39.019999999999996
25,398,Rodri,MCI,MID,9.4,0.0,5.56,5.9,0.0,0.0,0.0,5.4,0.0,5.11,0.0,0.0,6.21,0.0,6.23,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,6.16,0.0,0.0,4.68,5.02,0.0,0.0,0.0,0.0,0.0,0.0,55.94
26,347,Alisson,LIV,GK,8.0,0.0,5.52,4.04,0.0,0.0,0.0,5.47,0.0,6.06,0.0,6.01,0.0,0.0,0.0,5.1,0.0,0.0,4.41,0.0,5.3,0.0,0.0,0.0,0.0,4.88,0.0,0.0,0.0,0.0,0.0,5.37,0.0,0.0,52.16
