,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,9.31,0.0,7.17,0.0,0.0,9.01,0.0,8.64,0.0,0.0,0.0,0.0,0.0,0.0,7.83,0.0,10.0,0.0,0.0,6.08,58.04
1,351,Mohamed Salah,LIV,MID,11.5,0.0,8.47,0.0,7.69,0.0,6.27,0.0,0.0,0.0,6.88,0.0,0.0,5.78,0.0,6.34,0.0,0.0,0.0,0.0,6.09,0.0,47.519999999999996
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,6.35,0.0,4.34,0.0,5.32,0.0,0.0,0.0,5.14,0.0,7.7,0.0,0.0,4.76,0.0,0.0,6.42,0.0,0.0,0.0,40.03
3,1175,Kieran Trippier,NEW,DEF,9.1,6.28,0.0,0.0,0.0,5.74,0.0,3.41,0.0,6.32,0.0,0.0,0.0,6.08,0.0,7.35,0.0,0.0,0.0,0.0,3.15,0.0,38.33
4,525,Son Heung-min,TOT,MID,9.7,0.0,4.14,0.0,0.0,7.4,0.0,5.77,6.53,0.0,0.0,0.0,0.0,7.06,0.0,0.0,0.0,5.55,0.0,7.83,0.0,0.0,44.279999999999994
5,21,Bukayo Saka,ARS,MID,10.4,6.25,0.0,5.09,0.0,0.0,4.11,0.0,0.0,0.0,4.92,0.0,0.0,3.96,0.0,0.0,0.0,5.33,0.0,4.48,0.0,0.0,34.14
6,13,William Saliba,ARS,DEF,9.0,7.03,0.0,6.05,0.0,0.0,4.32,0.0,0.0,0.0,5.01,0.0,0.0,2.89,0.0,0.0,0.0,5.92,0.0,4.89,0.0,0.0,36.11
7,400,Kyle Walker,MCI,DEF,8.6,0.0,3.41,0.0,3.81,0.0,0.0,5.37,0.0,5.52,0.0,0.0,0.0,0.0,0.0,0.0,4.54,0.0,4.91,0.0,0.0,2.91,30.47
8,610,Jarrod Bowen,WHU,MID,8.8,0.0,4.82,0.0,0.0,4.0,0.0,4.22,0.0,0.0,5.0,0.0,0.0,4.49,0.0,0.0,0.0,3.23,0.0,0.0,0.0,4.35,30.11
9,1275,Darwin Núñez,LIV,FOR,9.4,0.0,6.91,0.0,6.31,0.0,5.15,0.0,0.0,0.0,5.83,0.0,0.0,4.88,0.0,5.21,0.0,0.0,0.0,0.0,5.1,0.0,39.38999999999999
10,373,Ederson,MCI,GK,7.8,0.0,5.09,0.0,5.21,0.0,0.0,6.67,0.0,7.06,0.0,0.0,0.0,0.0,0.0,0.0,6.07,0.0,6.55,0.0,0.0,3.98,40.629999999999995
11,1320,Julián Álvarez,MCI,FOR,8.6,0.0,4.77,0.0,3.88,0.0,0.0,4.73,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,3.87,0.0,4.54,0.0,0.0,2.87,29.33
