,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,7.24,0.0,0.0,8.82,0.0,8.38,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,10.01,0.0,0.0,0.0,42.11000000000001
1,351,Mohamed Salah,LIV,MID,11.5,0.0,7.59,0.0,6.19,0.0,0.0,0.0,6.96,0.0,0.0,5.81,0.0,6.51,0.0,0.0,0.0,0.0,5.93,0.0,38.99
2,1175,Kieran Trippier,NEW,DEF,9.1,0.0,0.0,5.84,0.0,3.6,0.0,6.19,0.0,0.0,0.0,6.43,0.0,7.17,0.0,0.0,0.0,0.0,3.08,0.0,32.309999999999995
3,21,Bukayo Saka,ARS,MID,10.4,5.39,0.0,0.0,4.23,0.0,0.0,0.0,4.83,0.0,0.0,4.05,0.0,0.0,0.0,5.43,0.0,4.43,0.0,0.0,28.36
4,645,Ollie Watkins,AVL,FOR,9.3,0.0,4.33,0.0,5.21,0.0,0.0,0.0,4.85,0.0,7.37,0.0,0.0,4.69,0.0,0.0,6.4,0.0,0.0,0.0,32.85
5,525,Son Heung-min,TOT,MID,9.7,0.0,0.0,7.36,0.0,5.73,6.29,0.0,0.0,0.0,0.0,6.96,0.0,0.0,0.0,5.38,0.0,7.44,0.0,0.0,39.16
6,13,William Saliba,ARS,DEF,9.0,6.04,0.0,0.0,3.9,0.0,0.0,0.0,4.52,0.0,0.0,2.61,0.0,0.0,0.0,5.72,0.0,4.47,0.0,0.0,27.259999999999998
7,400,Kyle Walker,MCI,DEF,8.6,0.0,3.57,0.0,0.0,5.4,0.0,5.34,0.0,0.0,0.0,0.0,0.0,0.0,4.73,0.0,5.0,0.0,0.0,0.0,24.04
8,1275,Darwin Núñez,LIV,FOR,9.4,0.0,5.97,0.0,4.87,0.0,0.0,0.0,5.64,0.0,0.0,4.72,0.0,5.13,0.0,0.0,0.0,0.0,4.76,0.0,31.089999999999996
9,373,Ederson,MCI,GK,7.8,0.0,5.04,0.0,0.0,6.69,0.0,6.83,0.0,0.0,0.0,0.0,0.0,0.0,6.24,0.0,6.64,0.0,0.0,0.0,31.440000000000005
