,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72,0.0,9.89,0.0,0.0,0.0,16.61
1,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,0.0,7.26,0.0,0.0,6.06,0.0,6.73,0.0,0.0,0.0,0.0,6.12,0.0,26.17
2,1175,Kieran Trippier,NEW,DEF,9.1,3.66,0.0,6.27,0.0,0.0,0.0,6.56,0.0,7.02,0.0,0.0,0.0,0.0,3.19,0.0,26.7
3,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,0.0,5.01,0.0,0.0,4.14,0.0,0.0,0.0,5.6,0.0,4.49,0.0,0.0,19.24
4,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,0.0,4.94,0.0,7.6,0.0,0.0,4.73,0.0,0.0,6.68,0.0,0.0,0.0,23.95
5,525,Son Heung-min,TOT,MID,9.7,2.43,5.09,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,5.32,0.0,7.53,0.0,0.0,26.87
6,13,William Saliba,ARS,DEF,9.0,0.0,0.0,0.0,4.7,0.0,0.0,2.65,0.0,0.0,0.0,5.8,0.0,4.47,0.0,0.0,17.619999999999997
7,400,Kyle Walker,MCI,DEF,8.6,6.87,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,6.05,0.0,0.0,0.0,24.88
8,1275,Darwin Núñez,LIV,FOR,9.4,0.0,0.0,0.0,5.15,0.0,0.0,4.26,0.0,4.54,0.0,0.0,0.0,0.0,4.1,0.0,18.049999999999997
9,373,Ederson,MCI,GK,7.8,6.89,0.0,6.91,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,6.64,0.0,0.0,0.0,26.75
10,895,Bryan Mbeumo,BRE,MID,8.3,0.0,0.0,0.0,5.17,0.0,0.0,0.0,0.0,0.0,6.53,0.0,4.71,0.0,0.0,0.0,16.41
11,1320,Julián Álvarez,MCI,FOR,8.6,7.4,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,5.95,0.0,7.39,0.0,0.0,0.0,27.64
12,610,Jarrod Bowen,WHU,MID,8.8,4.32,0.0,0.0,5.09,0.0,0.0,4.45,0.0,0.0,0.0,3.29,0.0,0.0,0.0,4.26,21.409999999999997
13,121,Nick Pope,NEW,GK,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,0.0,0.0,5.53,0.0,0.0,3.82,0.0,5.61,0.0,0.0,0.0,0.0,3.98,0.0,18.94
15,417,Marcus Rashford,MUN,MID,10.9,0.0,0.0,0.0,3.77,0.0,0.0,4.17,0.0,4.41,0.0,0.0,4.21,0.0,0.0,0.0,16.56
16,398,Rodri,MCI,MID,9.4,6.47,0.0,6.39,0.0,0.0,0.0,0.0,0.0,0.0,5.84,0.0,6.25,0.0,0.0,0.0,24.95
17,598,Declan Rice,ARS,MID,8.1,0.0,0.0,0.0,3.87,0.0,0.0,2.92,0.0,0.0,0.0,4.85,0.0,3.5,0.0,0.0,15.14
18,1435,Alexander Isak,NEW,FOR,9.0,5.19,0.0,6.63,0.0,0.0,0.0,4.83,0.0,6.07,0.0,0.0,0.0,0.0,3.91,0.0,26.63
19,710,Rúben Dias,MCI,DEF,9.7,7.4,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,5.95,0.0,6.55,0.0,0.0,0.0,26.5
20,810,Martin Ødegaard,ARS,MID,10.3,0.0,0.0,0.0,4.41,0.0,0.0,3.58,0.0,0.0,0.0,5.37,0.0,4.09,0.0,0.0,17.45
21,719,Joachim Andersen,CRY,DEF,7.8,0.0,0.0,1.21,0.0,3.06,0.0,0.0,0.0,0.0,2.55,0.0,3.47,0.0,0.0,0.0,10.29
22,35,Matty Cash,AVL,DEF,7.7,0.0,0.0,0.0,2.23,0.0,3.75,0.0,0.0,2.16,0.0,0.0,3.67,0.0,0.0,0.0,11.81
23,412,Bruno Fernandes,MUN,MID,10.7,0.0,0.0,0.0,3.96,0.0,0.0,5.24,0.0,5.05,0.0,0.0,5.28,0.0,0.0,0.0,19.53
24,3421,Guglielmo Vicario,TOT,GK,7.0,4.13,5.18,0.0,0.0,0.0,0.0,5.95,0.0,0.0,0.0,4.4,0.0,5.22,0.0,0.0,24.879999999999995
25,1558,André Onana,MUN,GK,7.3,0.0,0.0,0.0,3.04,0.0,0.0,4.34,0.0,4.3,0.0,0.0,4.54,0.0,0.0,0.0,16.22
26,1260,Kaoru Mitoma,BHA,MID,8.0,0.0,0.0,0.0,3.59,4.11,0.0,0.0,0.0,0.0,0.0,4.34,0.0,0.0,0.0,4.01,16.049999999999997
27,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,1.63,2.53
28,100,Lewis Dunk,BHA,DEF,8.3,0.0,0.0,0.0,3.62,5.94,0.0,0.0,0.0,0.0,0.0,4.46,0.0,0.0,0.0,5.52,19.54
29,1097,Evan Ferguson,BHA,FOR,7.8,0.0,0.0,0.0,3.6,4.08,0.0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,0.0,3.98,16.15
30,383,Phil Foden,MCI,MID,9.5,4.7,0.0,4.27,0.0,0.0,0.0,0.0,0.0,0.0,3.67,0.0,4.34,0.0,0.0,0.0,16.979999999999997
31,505,James Ward-Prowse,WHU,MID,8.4,3.51,0.0,0.0,4.22,0.0,0.0,3.64,0.0,0.0,0.0,2.52,0.0,0.0,0.0,3.26,17.15
32,347,Alisson,LIV,GK,8.0,0.0,0.0,0.0,0.71,0.0,0.0,1.97,0.0,3.9,0.0,0.0,0.0,0.0,4.52,0.0,11.1
33,3231,Moussa Diaby,AVL,MID,8.1,0.0,0.0,0.0,3.11,0.0,4.51,0.0,0.0,3.06,0.0,0.0,3.95,0.0,0.0,0.0,14.629999999999999
34,483,Aaron Ramsdale,ARS,GK,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.42000000000000004
35,369,Virgil van Dijk,LIV,DEF,9.9,0.0,0.0,0.0,5.44,0.0,0.0,4.01,0.0,5.75,0.0,0.0,0.0,0.0,4.19,0.0,19.39
36,93,Ben White,ARS,DEF,9.2,0.0,0.0,0.0,4.41,0.0,0.0,2.42,0.0,0.0,0.0,5.83,0.0,4.02,0.0,0.0,16.68
37,3212,Pedro Porro,TOT,DEF,7.8,4.45,5.68,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,3.55,0.0,6.1,0.0,0.0,26.33
38,20,Gabriel Dos Santos,ARS,DEF,9.3,0.0,0.0,0.0,4.8,0.0,0.0,2.55,0.0,0.0,0.0,6.07,0.0,4.41,0.0,0.0,17.83
39,327,James Maddison,TOT,MID,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3382,Dominik Szoboszlai,LIV,MID,9.0,0.0,0.0,0.0,3.64,0.0,0.0,2.83,0.0,3.63,0.0,0.0,0.0,0.0,2.87,0.0,12.970000000000002
41,662,Callum Wilson,NEW,FOR,9.1,1.14,0.0,3.1,0.0,0.0,0.0,3.55,0.0,5.2,0.0,0.0,0.0,0.0,3.24,0.0,16.23
42,46,Douglas Luiz,AVL,MID,8.0,0.0,0.0,0.0,3.26,0.0,5.01,0.0,0.0,3.94,0.0,0.0,4.5,0.0,0.0,0.0,16.71
43,469,Fabian Schär,NEW,DEF,8.7,3.49,0.0,6.12,0.0,0.0,0.0,6.21,0.0,6.73,0.0,0.0,0.0,0.0,2.55,0.0,25.1
44,1439,Manuel Akanji,MCI,DEF,9.2,5.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,4.95,0.0,0.0,0.0,19.849999999999998
45,8,Emiliano Martínez,AVL,GK,7.1,0.0,0.0,0.0,3.9,0.0,5.64,0.0,0.0,3.92,0.0,0.0,5.12,0.0,0.0,0.0,18.58
46,377,Oleksandr Zinchenko,ARS,DEF,8.8,0.0,0.0,0.0,4.99,0.0,0.0,3.1,0.0,0.0,0.0,6.23,0.0,4.57,0.0,0.0,18.89
47,224,Anthony Gordon,NEW,MID,7.8,3.94,0.0,6.44,0.0,0.0,0.0,5.02,0.0,5.71,0.0,0.0,0.0,0.0,3.89,0.0,25.0
48,88,Alexis Mac Allister,LIV,MID,8.9,0.0,0.0,0.0,3.8,0.0,0.0,2.92,0.0,3.56,0.0,0.0,0.0,0.0,3.04,0.0,13.32
49,2079,Pau Torres,AVL,DEF,8.1,0.0,0.0,0.0,3.38,0.0,6.17,0.0,0.0,3.11,0.0,0.0,5.46,0.0,0.0,0.0,18.12
50,1197,Luis Díaz,LIV,MID,9.6,0.0,0.0,0.0,4.15,0.0,0.0,3.54,0.0,3.67,0.0,0.0,0.0,0.0,3.3,0.0,14.66
51,399,Raheem Sterling,CHE,MID,8.7,3.88,0.0,4.84,0.0,0.0,0.0,0.0,3.87,0.0,3.91,0.0,3.93,0.0,0.0,0.0,20.43
52,2038,Nicolas Jackson,CHE,FOR,8.2,4.15,0.0,5.03,0.0,0.0,0.0,0.0,3.77,0.0,3.85,0.0,3.78,0.0,0.0,0.0,20.580000000000002
53,376,John Stones,MCI,DEF,9.2,0.0,0.0,6.56,0.0,0.0,0.0,0.0,0.0,0.0,5.59,0.0,5.83,0.0,0.0,0.0,17.979999999999997
54,387,Nathan Aké,MCI,DEF,8.9,8.17,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,4.69,0.0,5.07,0.0,0.0,0.0,23.7
55,1900,Cody Gakpo,LIV,FOR,9.6,0.0,0.0,0.0,3.0,0.0,0.0,2.58,0.0,2.69,0.0,0.0,0.0,0.0,2.24,0.0,10.51
56,1359,Levi Colwill,CHE,DEF,7.5,0.0,0.0,5.05,0.0,0.0,0.0,0.0,4.09,0.0,4.68,0.0,4.54,0.0,0.0,0.0,18.36
57,1072,Cristian Romero,TOT,DEF,7.9,4.39,5.37,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,3.66,0.0,5.82,0.0,0.0,25.04
58,1198,Bruno Guimarães,NEW,MID,8.4,3.69,0.0,4.9,0.0,0.0,0.0,4.96,0.0,4.93,0.0,0.0,0.0,0.0,3.11,0.0,21.59
59,425,Luke Shaw,MUN,DEF,8.8,0.0,0.0,0.0,1.34,0.0,0.0,3.41,0.0,3.13,0.0,0.0,3.46,0.0,0.0,0.0,11.34
60,1364,Lisandro Martínez,MUN,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,397,Cole Palmer,CHE,MID,6.5,5.32,0.0,5.73,0.0,0.0,0.0,0.0,4.59,0.0,5.01,0.0,4.87,0.0,0.0,0.0,25.52
62,394,Kevin De Bruyne,MCI,MID,10.9,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,3.16,0.0,4.5,0.0,0.0,0.0,8.31
63,396,Gabriel Jesus,ARS,FOR,10.0,0.0,0.0,0.0,5.0,0.0,0.0,3.83,0.0,0.0,0.0,5.21,0.0,4.23,0.0,0.0,18.27
64,167,Thiago Silva,CHE,DEF,8.5,0.0,0.0,5.66,0.0,0.0,0.0,0.0,4.75,0.0,5.36,0.0,5.15,0.0,0.0,0.0,20.92
65,182,Eberechi Eze,CRY,MID,8.2,0.0,0.0,2.26,0.0,3.11,0.0,0.0,0.0,0.0,4.38,0.0,4.51,0.0,0.0,0.0,14.26
66,1105,Hwang Hee-chan,WOL,MID,7.3,0.0,0.0,0.0,3.38,0.0,0.0,0.0,3.27,0.0,2.99,0.0,3.45,0.0,0.0,0.0,13.09
67,16,Martinelli,ARS,MID,10.2,0.0,0.0,0.0,4.4,0.0,0.0,3.42,0.0,0.0,0.0,4.73,0.0,4.01,0.0,0.0,16.560000000000002
68,975,Marc Guéhi,CRY,DEF,8.0,0.0,0.0,1.29,0.0,3.18,0.0,0.0,0.0,0.0,2.57,0.0,3.36,0.0,0.0,0.0,10.4
69,42,Jack Grealish,MCI,MID,9.2,3.62,0.0,2.31,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.0,2.74,0.0,0.0,0.0,10.799999999999999
70,262,Aleksandar Mitrović,FUL,FOR,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,464,Miguel Almirón,NEW,MID,8.5,3.5,0.0,4.27,0.0,0.0,0.0,3.63,0.0,3.94,0.0,0.0,0.0,0.0,2.72,0.0,18.06
72,2351,Jeremy Doku,MCI,MID,8.5,1.97,0.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,2.64,0.0,3.12,0.0,0.0,0.0,10.89
73,2405,Axel Disasi,CHE,DEF,8.4,2.52,0.0,3.51,0.0,0.0,0.0,0.0,2.04,0.0,3.46,0.0,3.2,0.0,0.0,0.0,14.73
74,371,Andrew Robertson,LIV,DEF,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1247,Dominic Solanke,BOU,FOR,7.8,0.0,0.0,7.06,0.0,0.0,0.0,5.37,0.0,6.37,0.0,0.0,0.0,5.1,0.0,0.0,23.9
76,1283,Sven Botman,NEW,DEF,8.6,0.0,0.0,0.59,0.0,0.0,0.0,2.22,0.0,4.03,0.0,0.0,0.0,0.0,2.24,0.0,9.08
77,149,Ben Chilwell,CHE,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,1.43,0.0,1.83,0.0,0.0,0.0,4.1899999999999995
78,4,Eddie Nketiah,ARS,FOR,7.6,0.0,0.0,0.0,1.1,0.0,0.0,0.96,0.0,0.0,0.0,1.39,0.0,1.3,0.0,0.0,4.75
79,48,Ezri Konsa,AVL,DEF,7.9,0.0,0.0,0.0,2.45,0.0,4.87,0.0,0.0,2.35,0.0,0.0,4.16,0.0,0.0,0.0,13.83
80,72,Pascal Groß,BHA,MID,8.2,0.0,0.0,0.0,3.58,5.38,0.0,0.0,0.0,0.0,0.0,4.24,0.0,0.0,0.0,5.23,18.43
81,344,Kostas Tsimikas,LIV,DEF,7.2,0.0,0.0,0.0,3.47,0.0,0.0,2.66,0.0,3.89,0.0,0.0,0.0,0.0,2.92,0.0,12.940000000000001
82,872,David Raya,ARS,GK,7.3,0.0,0.0,0.0,5.5,0.0,0.0,3.93,0.0,0.0,0.0,5.59,0.0,4.77,0.0,0.0,19.79
83,1638,Joško Gvardiol,MCI,DEF,9.3,5.38,0.0,5.65,0.0,0.0,0.0,0.0,0.0,0.0,4.65,0.0,4.91,0.0,0.0,0.0,20.590000000000003
84,152,Mason Mount,MUN,MID,8.7,0.0,0.0,0.0,1.11,0.0,0.0,1.66,0.0,1.82,0.0,0.0,1.64,0.0,0.0,0.0,6.2299999999999995
85,76,Dan Burn,NEW,DEF,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43
86,1411,Casemiro,MUN,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,95,Robert Sánchez,CHE,GK,6.6,5.46,0.0,5.8,0.0,0.0,0.0,0.0,5.16,0.0,5.53,0.0,5.1,0.0,0.0,0.0,27.050000000000004
88,3,Bernd Leno,FUL,GK,6.8,4.98,0.0,3.85,0.0,0.0,0.0,4.96,0.0,4.65,0.0,0.0,0.0,3.7,0.0,0.0,22.139999999999997
89,1112,Odsonne Édouard,CRY,FOR,7.0,0.0,0.0,2.76,0.0,3.8,0.0,0.0,0.0,0.0,3.31,0.0,3.65,0.0,0.0,0.0,13.52
90,171,Reece James,CHE,DEF,9.1,5.58,0.0,5.36,0.0,0.0,0.0,0.0,4.26,0.0,4.97,0.0,4.75,0.0,0.0,0.0,24.92
91,959,João Pedro,BHA,FOR,7.7,0.0,0.0,0.0,2.09,2.35,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,2.22,9.34
92,70,Solly March,BHA,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.29,0.0,0.0,0.0,2.08,3.37
93,236,Jordan Pickford,EVE,GK,7.0,3.64,0.0,4.17,0.0,0.0,0.0,3.28,0.0,0.0,2.69,0.0,4.29,0.0,0.0,0.0,18.07
94,348,Taiwo Awoniyi,FOR,FOR,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1076,Yoane Wissa,BRE,MID,7.6,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,4.18,0.0,3.22,0.0,0.0,0.0,11.15
96,261,Tim Ream,FUL,DEF,7.5,4.52,0.0,1.72,0.0,0.0,0.0,4.32,0.0,3.35,0.0,0.0,0.0,1.92,0.0,0.0,15.829999999999998
97,1469,Enzo Fernández,CHE,MID,8.4,3.98,0.0,3.96,0.0,0.0,0.0,0.0,3.69,0.0,4.18,0.0,4.03,0.0,0.0,0.0,19.84
98,646,Kai Havertz,ARS,MID,9.2,0.0,0.0,0.0,2.89,0.0,0.0,2.17,0.0,0.0,0.0,2.82,0.0,2.13,0.0,0.0,10.010000000000002
99,813,Moisés Caicedo,CHE,MID,8.0,4.16,0.0,3.52,0.0,0.0,0.0,0.0,3.04,0.0,3.49,0.0,3.29,0.0,0.0,0.0,17.5
100,392,Bernardo Silva,MCI,MID,8.3,4.88,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.0,3.2,0.0,0.0,0.0,15.709999999999997
101,307,Harvey Barnes,NEW,MID,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68
102,633,Diogo Jota,LIV,MID,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.71,0.0,0.0,0.0,0.0,1.35,0.0,2.3200000000000003
103,570,Sam Johnstone,CRY,GK,6.5,0.0,0.0,3.09,0.0,4.55,0.0,0.0,0.0,0.0,3.83,0.0,4.08,0.0,0.0,0.0,15.549999999999999
104,1659,Rasmus Højlund,MUN,FOR,9.1,0.0,0.0,0.0,3.29,0.0,0.0,3.78,0.0,3.87,0.0,0.0,3.61,0.0,0.0,0.0,14.55
105,784,Morgan Gibbs-White,FOR,MID,7.9,0.0,3.58,0.0,0.0,0.0,0.0,3.68,0.0,2.62,0.0,0.0,3.24,0.0,0.0,0.0,13.12
106,886,Ethan Pinnock,BRE,DEF,7.9,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,5.62,0.0,4.88,0.0,0.0,0.0,14.7
107,438,Aaron Wan-Bissaka,MUN,DEF,8.0,0.0,0.0,0.0,1.73,0.0,0.0,3.32,0.0,3.09,0.0,0.0,3.11,0.0,0.0,0.0,11.25
108,1202,Dejan Kulusevski,TOT,MID,8.1,3.44,3.58,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,3.11,0.0,4.08,0.0,0.0,18.11
109,111,Ben Mee,BRE,DEF,8.0,0.0,0.0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,4.79,0.0,3.96,0.0,0.0,0.0,12.309999999999999
110,3412,Sandro Tonali,NEW,MID,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,36,Tyrone Mings,AVL,DEF,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,408,Diogo Dalot,MUN,DEF,8.2,0.0,0.0,0.0,1.43,0.0,0.0,2.3,0.0,2.59,0.0,0.0,2.49,0.0,0.0,0.0,8.809999999999999
