,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,2.9,0.0,0.0,0.0,5.15
1,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,6.8,0.0,0.0,5.71,0.0,6.29,0.0,0.0,0.0,0.0,5.89,0.0,24.69
2,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,4.87,0.0,0.0,4.01,0.0,0.0,0.0,5.49,0.0,4.3,0.0,0.0,18.669999999999998
3,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,4.56,0.0,6.91,0.0,0.0,4.37,0.0,0.0,6.09,0.0,0.0,0.0,21.93
4,1175,Kieran Trippier,NEW,DEF,9.1,0.0,0.0,0.0,0.0,0.0,6.91,0.0,7.77,0.0,0.0,0.0,0.0,3.03,0.0,17.71
5,525,Son Heung-min,TOT,MID,9.7,6.03,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,4.89,0.0,6.87,0.0,0.0,24.580000000000002
6,13,William Saliba,ARS,DEF,9.0,0.0,0.0,4.71,0.0,0.0,2.33,0.0,0.0,0.0,5.99,0.0,4.6,0.0,0.0,17.630000000000003
7,610,Jarrod Bowen,WHU,MID,8.8,0.0,0.0,5.44,0.0,0.0,4.75,0.0,0.0,0.0,3.47,0.0,0.0,0.0,4.53,18.19
8,373,Ederson,MCI,GK,7.8,0.0,6.61,0.0,0.0,0.0,0.0,0.0,0.0,6.11,0.0,6.63,0.0,0.0,0.0,19.35
9,1320,Julián Álvarez,MCI,FOR,8.6,0.0,5.19,0.0,0.0,0.0,0.0,0.0,0.0,4.63,0.0,5.53,0.0,0.0,0.0,15.350000000000001
10,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,0.0,5.23,0.0,0.0,3.86,0.0,5.6,0.0,0.0,0.0,0.0,4.1,0.0,18.79
11,400,Kyle Walker,MCI,DEF,8.6,0.0,6.16,0.0,0.0,0.0,0.0,0.0,0.0,5.43,0.0,6.11,0.0,0.0,0.0,17.7
12,1275,Darwin Núñez,LIV,FOR,9.4,0.0,0.0,4.88,0.0,0.0,4.06,0.0,4.31,0.0,0.0,0.0,0.0,3.99,0.0,17.240000000000002
13,598,Declan Rice,ARS,MID,8.1,0.0,0.0,3.95,0.0,0.0,2.82,0.0,0.0,0.0,5.13,0.0,3.69,0.0,0.0,15.589999999999998
14,1435,Alexander Isak,NEW,FOR,9.0,0.0,5.68,0.0,0.0,0.0,4.25,0.0,5.24,0.0,0.0,0.0,0.0,3.44,0.0,18.61
15,398,Rodri,MCI,MID,9.4,0.0,6.37,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.0,6.34,0.0,0.0,0.0,18.56
16,417,Marcus Rashford,MUN,MID,10.9,0.0,0.0,3.54,0.0,0.0,3.91,0.0,4.05,0.0,0.0,3.96,0.0,0.0,0.0,15.46
17,710,Rúben Dias,MCI,DEF,9.7,0.0,6.53,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,6.69,0.0,0.0,0.0,19.1
18,810,Martin Ødegaard,ARS,MID,10.3,0.0,0.0,4.45,0.0,0.0,3.59,0.0,0.0,0.0,5.76,0.0,4.19,0.0,0.0,17.99
19,3421,Guglielmo Vicario,TOT,GK,7.0,5.18,0.0,0.0,0.0,0.0,5.55,0.0,0.0,0.0,4.36,0.0,5.11,0.0,0.0,20.2
20,1558,André Onana,MUN,GK,7.3,0.0,0.0,3.03,0.0,0.0,4.34,0.0,4.24,0.0,0.0,4.57,0.0,0.0,0.0,16.18
21,383,Phil Foden,MCI,MID,9.5,0.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,4.02,0.0,0.0,0.0,11.379999999999999
