,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,1.73,0.0,3.95,0.0,0.0,0.0,5.68
1,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,0.0,0.0,5.85,0.0,5.85
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,6.15,0.0,0.0,0.0,6.15
3,21,Bukayo Saka,ARS,MID,10.4,0.0,5.98,0.0,4.5,0.0,0.0,10.48
4,525,Son Heung-min,TOT,MID,9.7,0.0,5.08,0.0,6.94,0.0,0.0,12.02
5,13,William Saliba,ARS,DEF,9.0,0.0,6.1,0.0,4.92,0.0,0.0,11.02
6,1175,Kieran Trippier,NEW,DEF,9.1,0.0,0.0,0.0,0.0,2.82,0.0,2.82
7,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,0.0,0.0,0.0,4.25,0.0,4.25
8,610,Jarrod Bowen,WHU,MID,8.8,0.0,3.54,0.0,0.0,0.0,4.62,8.16
9,1320,Julián Álvarez,MCI,FOR,8.6,5.48,0.0,6.32,0.0,0.0,0.0,11.8
10,373,Ederson,MCI,GK,7.8,5.97,0.0,6.82,0.0,0.0,0.0,12.79
11,400,Kyle Walker,MCI,DEF,8.6,5.05,0.0,5.49,0.0,0.0,0.0,10.54
12,1275,Darwin Núñez,LIV,FOR,9.4,0.0,0.0,0.0,0.0,3.79,0.0,3.79
13,598,Declan Rice,ARS,MID,8.1,0.0,5.18,0.0,4.11,0.0,0.0,9.29
14,398,Rodri,MCI,MID,9.4,6.12,0.0,6.51,0.0,0.0,0.0,12.629999999999999
15,417,Marcus Rashford,MUN,MID,10.9,0.0,0.0,3.38,0.0,0.0,0.0,3.38
16,1435,Alexander Isak,NEW,FOR,9.0,0.0,0.0,0.0,0.0,3.32,0.0,3.32
17,710,Rúben Dias,MCI,DEF,9.7,6.19,0.0,7.07,0.0,0.0,0.0,13.260000000000002
18,810,Martin Ødegaard,ARS,MID,10.3,0.0,6.32,0.0,4.72,0.0,0.0,11.04
19,3421,Guglielmo Vicario,TOT,GK,7.0,0.0,4.17,0.0,5.04,0.0,0.0,9.21
20,1558,André Onana,MUN,GK,7.3,0.0,0.0,4.71,0.0,0.0,0.0,4.71
21,383,Phil Foden,MCI,MID,9.5,4.06,0.0,4.27,0.0,0.0,0.0,8.329999999999998
22,1072,Cristian Romero,TOT,DEF,7.9,0.0,3.85,0.0,4.96,0.0,0.0,8.81
23,347,Alisson,LIV,GK,8.0,0.0,0.0,0.0,0.0,4.65,0.0,4.65
24,121,Nick Pope,NEW,GK,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,100,Lewis Dunk,BHA,DEF,8.3,0.0,4.89,0.0,0.0,0.0,5.5,10.39
26,1247,Dominic Solanke,BOU,FOR,7.8,0.0,0.0,0.0,4.87,0.0,0.0,4.87
27,1260,Kaoru Mitoma,BHA,MID,8.0,0.0,3.82,0.0,0.0,0.0,3.5,7.32
28,719,Joachim Andersen,CRY,DEF,7.8,2.11,0.0,2.8,0.0,0.0,0.0,4.91
29,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,0.3,0.0,0.0,0.0,0.96,1.26
30,369,Virgil van Dijk,LIV,DEF,9.9,0.0,0.0,0.0,0.0,4.32,0.0,4.32
31,3212,Pedro Porro,TOT,DEF,7.8,0.0,4.1,0.0,6.95,0.0,0.0,11.05
32,8,Emiliano Martínez,AVL,GK,7.1,0.0,0.0,5.26,0.0,0.0,0.0,5.26
33,1097,Evan Ferguson,BHA,FOR,7.8,0.0,3.71,0.0,0.0,0.0,3.26,6.97
34,505,James Ward-Prowse,WHU,MID,8.4,0.0,2.55,0.0,0.0,0.0,3.04,5.59
35,412,Bruno Fernandes,MUN,MID,10.7,0.0,0.0,5.89,0.0,0.0,0.0,5.89
36,483,Aaron Ramsdale,ARS,GK,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,35,Matty Cash,AVL,DEF,7.7,0.0,0.0,2.1,0.0,0.0,0.0,2.1
38,224,Anthony Gordon,NEW,MID,7.8,0.0,0.0,0.0,0.0,3.74,0.0,3.74
39,93,Ben White,ARS,DEF,9.2,0.0,6.08,0.0,4.43,0.0,0.0,10.51
