,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,9.31,0.0,0.0,0.0,7.01,8.52,0.0,0.0,7.24,0.0,0.0,0.0,7.27,0.0,0.0,7.85,6.04,6.68,6.28,0.0,6.88,77.51999999999998
1,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,2.08,0.0,5.51,0.0,0.0,6.11,0.0,0.0,0.0,8.35,0.0,0.0,6.72,5.26,6.46,6.9,0.0,7.96,55.8
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,4.81,0.0,0.0,0.0,0.0,4.95,0.0,0.0,4.97,0.0,0.0,0.0,5.36,0.0,4.53,0.0,0.0,0.0,6.16,0.0,0.0,5.06,5.73,4.65,6.0,0.0,3.17,55.39000000000001
3,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,0.0,6.1,0.0,0.0,5.18,0.0,0.0,0.0,4.76,0.0,0.0,5.03,0.0,4.55,0.0,0.0,0.0,4.67,0.0,0.0,5.22,5.16,5.21,3.3,6.07,0.0,55.25
4,13,William Saliba,ARS,DEF,9.0,0.0,0.0,0.0,6.63,0.0,0.0,5.83,0.0,0.0,0.0,3.17,0.0,0.0,5.5,0.0,5.26,0.0,0.0,0.0,4.22,0.0,0.0,6.21,5.33,4.63,2.68,6.41,0.0,55.870000000000005
5,525,Son Heung-min,TOT,MID,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,4.12,0.0,0.0,6.91,0.0,0.0,5.34,0.0,0.0,0.0,6.43,5.12,5.86,7.57,5.87,0.0,49.06
6,610,Jarrod Bowen,WHU,MID,8.8,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,5.57,0.0,4.08,0.0,0.0,4.0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,4.6,3.97,4.94,4.21,3.7,4.88,0.0,49.05
7,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,5.4,0.0,0.0,3.3,0.0,6.86,0.0,0.0,5.03,0.0,0.0,0.0,7.68,0.0,0.0,6.4,3.59,6.12,5.3,0.0,7.56,63.57
8,1175,Kieran Trippier,NEW,DEF,9.1,2.89,0.0,0.0,0.0,0.0,0.0,3.53,0.0,0.0,7.42,0.0,0.0,5.42,0.0,0.0,6.13,0.0,0.0,0.0,2.65,0.0,0.0,6.94,3.73,5.43,6.79,0.0,6.73,57.66
9,1320,Julián Álvarez,MCI,FOR,8.6,3.56,0.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,3.57,4.25,0.0,0.0,3.62,0.0,0.0,0.0,3.71,0.0,0.0,3.89,3.22,3.5,3.18,0.0,3.38,40.290000000000006
