,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,MD_37_Pts,MD_38_Pts,Total_Pts
0,397,Cole Palmer,CHE,MID,6.5,0.0,3.89,0.0,0.0,6.0,0.0,0.0,0.0,4.51,3.14,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,4.59,0.0,0.0,2.11,0.0,5.71,0.0,4.84,5.03,0.0,5.38,4.01,1.65,3.87,5.78,4.74,4.77,5.33,79.72999999999999
1,13,William Saliba,ARS,DEF,9.0,5.9,0.0,0.0,0.0,3.12,0.0,0.0,5.6,0.0,5.63,0.0,0.0,0.0,4.21,0.0,0.0,0.0,0.0,6.03,0.0,5.46,0.0,0.0,2.72,0.0,2.54,6.33,0.0,3.48,0.0,3.94,5.44,0.91,2.99,5.44,4.14,0.95,5.94,80.76999999999998
2,645,Ollie Watkins,AVL,FOR,9.3,5.27,0.0,0.0,5.02,0.0,0.0,0.0,5.41,0.0,4.43,0.0,0.0,0.0,6.03,0.0,0.0,4.71,0.0,0.0,0.0,5.79,0.0,0.0,0.0,3.1,6.02,0.0,3.13,5.39,0.0,3.62,6.03,1.21,5.34,4.19,4.74,0.42,4.26,84.11
3,398,Rodri,MCI,MID,9.4,0.0,6.97,0.0,0.0,0.0,6.11,6.65,0.0,0.0,5.99,0.0,0.0,6.32,5.91,0.0,0.0,0.0,5.86,0.0,0.0,4.47,0.0,0.0,0.0,0.26,5.13,0.0,4.85,5.6,0.0,6.29,4.92,0.98,5.75,6.16,5.57,3.92,6.4,104.11000000000003
4,369,Virgil van Dijk,LIV,DEF,9.9,0.0,5.43,0.0,0.0,3.56,0.0,7.09,0.0,0.0,5.57,0.0,0.0,6.92,0.0,0.0,0.0,6.32,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.3,4.92,0.0,7.07,4.93,0.0,6.39,2.4,5.0,6.18,4.42,3.79,4.0,6.81,94.85000000000002
5,21,Bukayo Saka,ARS,MID,10.4,5.4,0.0,0.0,0.0,5.01,0.0,0.0,5.61,0.0,4.93,0.0,0.0,0.0,4.98,0.0,0.0,0.0,0.0,5.25,0.0,5.29,0.0,0.0,3.19,0.0,3.51,6.4,0.0,4.48,0.0,5.12,4.91,1.08,4.71,6.07,4.57,1.14,5.87,87.52
6,72,Pascal Groß,BHA,MID,8.2,6.01,0.0,0.0,6.06,0.0,0.0,4.73,0.0,0.0,0.0,6.43,0.0,0.0,6.57,0.0,0.0,5.61,0.0,0.0,0.0,6.61,0.0,0.0,0.0,0.21,3.72,5.51,0.0,4.38,0.0,6.26,5.45,0.79,5.56,4.43,4.9,3.17,5.93,92.33000000000001
7,3212,Pedro Porro,TOT,DEF,7.8,0.0,6.44,0.0,5.79,0.0,0.0,4.86,0.0,0.0,6.87,0.0,0.0,0.0,0.0,0.0,0.0,6.55,0.0,0.0,0.0,3.86,0.0,4.89,0.0,0.0,7.22,5.95,0.0,6.39,0.0,3.67,3.0,0.76,3.85,2.77,7.28,3.26,6.63,90.04
8,100,Lewis Dunk,BHA,DEF,8.3,6.31,0.0,0.0,6.13,0.0,0.0,3.91,0.0,0.0,0.0,6.72,0.0,0.0,6.29,0.0,0.0,5.45,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.2,2.74,5.23,0.0,4.25,0.0,6.34,5.09,0.73,5.47,4.59,4.27,2.92,5.44,88.75000000000001
9,383,Phil Foden,MCI,MID,9.5,0.0,5.86,0.0,0.0,0.0,4.35,5.16,0.0,0.0,3.95,0.0,0.0,4.43,3.89,0.0,0.0,0.0,4.06,0.0,0.0,3.32,0.0,0.0,0.0,0.18,3.45,0.0,3.66,3.9,0.0,4.72,3.84,0.68,4.18,4.67,3.94,2.73,5.1,76.07
