,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,MD_35_Pts,MD_36_Pts,Total_Pts
0,397,Cole Palmer,CHE,MID,6.5,0.0,6.25,0.0,0.0,0.0,4.65,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,4.68,0.0,0.0,2.08,0.0,5.8,0.0,4.9,5.26,0.0,5.63,4.14,1.7,3.98,6.06,4.95,4.92,5.52,78.11
1,13,William Saliba,ARS,DEF,9.0,0.0,3.27,0.0,0.0,5.73,0.0,5.81,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,6.14,0.0,5.51,0.0,0.0,2.75,0.0,2.47,6.2,0.0,3.48,0.0,3.99,5.44,0.91,2.99,5.44,4.14,0.95,5.94,75.57
2,645,Ollie Watkins,AVL,FOR,9.3,5.11,0.0,0.0,0.0,5.46,0.0,4.47,0.0,0.0,0.0,0.0,6.16,0.0,0.0,4.75,0.0,0.0,0.0,5.79,0.0,0.0,0.0,3.1,6.02,0.0,3.12,5.5,0.0,3.65,6.03,1.21,5.34,4.19,4.73,0.42,4.26,79.31
3,398,Rodri,MCI,MID,9.4,0.0,0.0,6.15,6.74,0.0,0.0,6.05,0.0,0.0,6.36,0.0,6.02,0.0,0.0,0.0,5.91,0.0,0.0,4.54,0.0,0.0,0.0,0.27,5.19,0.0,4.92,5.76,0.0,6.35,5.14,1.02,5.89,6.33,5.74,4.07,6.56,99.00999999999999
4,369,Virgil van Dijk,LIV,DEF,9.9,0.0,3.73,0.0,7.2,0.0,0.0,5.61,0.0,0.0,0.0,7.36,0.0,0.0,0.0,6.32,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.3,4.92,0.0,7.07,4.93,0.0,6.45,2.43,4.7,6.22,4.48,3.84,4.04,6.87,90.12000000000002
5,21,Bukayo Saka,ARS,MID,10.4,0.0,5.11,0.0,0.0,5.59,0.0,5.07,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,0.0,5.26,0.0,5.36,0.0,0.0,3.19,0.0,3.44,6.07,0.0,4.33,0.0,5.0,4.84,1.07,4.65,5.99,4.52,1.12,5.78,81.42999999999999
6,72,Pascal Groß,BHA,MID,8.2,6.46,0.0,0.0,4.63,0.0,0.0,0.0,6.62,0.0,0.0,0.0,6.62,0.0,0.0,5.81,0.0,0.0,0.0,6.65,0.0,0.0,0.0,0.21,3.83,5.63,0.0,4.42,0.0,6.23,5.51,0.8,5.62,4.49,4.97,3.21,5.99,87.69999999999997
7,3212,Pedro Porro,TOT,DEF,7.8,6.15,0.0,0.0,5.08,0.0,0.0,7.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,0.0,3.81,0.0,5.05,0.0,0.0,7.56,6.2,0.0,6.68,0.0,3.79,3.04,0.78,3.91,2.79,7.38,3.31,6.72,85.95
8,100,Lewis Dunk,BHA,DEF,8.3,6.19,0.0,0.0,3.94,0.0,0.0,0.0,6.86,0.0,0.0,0.0,6.39,0.0,0.0,5.49,0.0,0.0,0.0,6.63,0.0,0.0,0.0,0.19,2.74,5.2,0.0,4.28,0.0,6.34,5.13,0.74,5.51,4.65,4.3,2.94,5.47,82.99000000000002
9,383,Phil Foden,MCI,MID,9.5,0.0,0.0,3.83,5.25,0.0,0.0,4.05,0.0,0.0,4.58,0.0,4.05,0.0,0.0,0.0,4.06,0.0,0.0,3.4,0.0,0.0,0.0,0.18,3.53,0.0,3.7,3.9,0.0,4.86,3.93,0.7,4.32,4.83,4.06,2.8,5.29,71.32000000000001
10,1247,Dominic Solanke,BOU,FOR,7.8,0.0,6.8,0.0,5.03,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,5.24,0.0,1.31,6.66,3.28,0.0,1.19,0.0,5.94,5.48,0.0,5.32,0.64,5.54,4.32,3.0,5.35,3.93,5.53,2.14,4.56,89.80999999999999
11,1256,Jan Paul van Hecke,BHA,DEF,6.7,5.97,0.0,0.0,3.39,0.0,0.0,0.0,6.44,0.0,0.0,0.0,5.85,0.0,0.0,4.91,0.0,0.0,0.0,6.13,0.0,0.0,0.0,0.15,2.14,4.65,0.0,3.45,0.0,5.82,4.48,0.59,4.88,3.79,3.68,2.35,4.91,73.58
12,610,Jarrod Bowen,WHU,MID,8.8,0.0,4.49,0.0,0.0,4.2,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,4.71,4.17,0.0,0.0,0.0,5.01,0.0,0.0,0.0,2.79,3.81,4.69,0.0,4.19,0.0,4.85,3.86,1.11,4.09,3.87,5.21,0.38,3.07,68.74999999999999
