,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,MD_32_Pts,MD_33_Pts,MD_34_Pts,Total_Pts
0,397,Cole Palmer,CHE,MID,6.5,0.0,0.0,5.17,3.22,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.58,0.0,0.0,0.0,0.0,4.94,0.0,2.38,0.0,5.54,0.0,0.0,4.95,5.21,5.4,2.33,3.52,3.88,5.62,4.62,2.99,5.35,69.94999999999999
1,1280,Erling Haaland,MCI,FOR,12.0,8.56,0.0,0.0,7.75,0.0,0.0,8.35,0.0,0.0,7.57,0.0,0.0,0.0,7.71,0.0,0.0,5.75,0.0,0.0,0.0,0.42,0.0,6.04,0.0,6.87,6.77,9.02,2.3,6.03,7.54,8.64,7.34,5.27,8.52,120.45
2,645,Ollie Watkins,AVL,FOR,9.3,0.0,5.75,0.0,4.76,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,4.9,0.0,0.0,0.0,5.91,0.0,0.0,0.0,2.6,5.81,0.0,0.0,3.26,5.64,3.64,3.28,2.45,5.48,4.37,4.79,2.65,4.4,76.00000000000003
3,398,Rodri,MCI,MID,9.4,6.76,0.0,0.0,6.04,0.0,0.0,6.47,0.0,0.0,6.14,0.0,0.0,0.0,6.06,0.0,0.0,4.28,0.0,0.0,0.0,0.33,0.0,4.8,0.0,5.18,5.98,6.37,1.56,4.72,5.8,6.27,5.57,3.88,6.55,92.75999999999998
4,369,Virgil van Dijk,LIV,DEF,9.9,7.24,0.0,0.0,5.79,0.0,0.0,0.0,7.12,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.82,0.0,5.37,0.0,7.02,5.17,6.68,2.15,5.04,6.11,4.51,4.23,3.28,6.74,86.91000000000001
5,13,William Saliba,ARS,DEF,9.0,0.0,5.69,0.0,5.78,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,6.16,5.35,0.0,0.0,0.0,3.04,0.0,0.0,2.2,5.86,0.0,3.86,4.21,4.2,1.43,2.97,5.67,4.3,1.1,5.89,72.7
6,394,Kevin De Bruyne,MCI,MID,10.9,4.82,0.0,0.0,4.46,0.0,0.0,5.56,0.0,0.0,4.92,0.0,0.0,0.0,5.06,0.0,0.0,3.24,0.0,0.0,0.0,0.26,0.0,3.56,0.0,3.93,5.03,4.99,1.24,3.69,4.89,5.42,4.34,2.98,5.97,74.36
7,72,Pascal Groß,BHA,MID,8.2,5.16,0.0,0.0,0.0,7.06,0.0,0.0,0.0,0.0,7.01,0.0,0.0,5.77,0.0,0.0,0.0,6.56,0.0,0.0,0.0,0.26,0.0,4.04,5.81,0.0,4.49,6.45,3.27,3.72,5.99,4.93,5.73,2.74,6.24,85.23
8,383,Phil Foden,MCI,MID,9.5,5.58,0.0,0.0,4.39,0.0,0.0,5.13,0.0,0.0,4.37,0.0,0.0,0.0,4.59,0.0,0.0,3.36,0.0,0.0,0.0,0.24,0.0,3.39,0.0,3.8,4.16,4.88,1.29,3.47,4.38,4.95,4.18,3.01,5.34,70.51
9,21,Bukayo Saka,ARS,MID,10.4,0.0,5.88,0.0,5.16,0.0,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0,5.62,5.39,0.0,0.0,0.0,3.72,0.0,0.0,3.4,6.32,0.0,4.54,5.33,3.99,1.7,4.72,6.2,4.64,1.12,5.85,78.91
10,373,Ederson,MCI,GK,7.8,6.16,0.0,0.0,4.81,0.0,0.0,5.7,0.0,0.0,5.15,0.0,0.0,0.0,5.08,0.0,0.0,3.82,0.0,0.0,0.0,0.29,0.0,4.41,0.0,4.89,5.72,6.18,1.44,4.24,5.68,6.12,5.18,3.42,6.06,84.35000000000001
11,1256,Jan Paul van Hecke,BHA,DEF,6.7,3.2,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,5.67,0.0,0.0,4.54,0.0,0.0,0.0,5.61,0.0,0.0,0.0,0.17,0.0,2.02,4.57,0.0,3.22,5.61,2.35,2.29,4.9,3.89,4.02,1.97,4.84,65.2
12,100,Lewis Dunk,BHA,DEF,8.3,3.92,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0,6.37,0.0,0.0,5.36,0.0,0.0,0.0,6.34,0.0,0.0,0.0,0.22,0.0,2.75,5.25,0.0,4.23,6.33,2.88,3.12,5.58,4.86,4.54,2.45,5.51,76.60000000000001
13,3212,Pedro Porro,TOT,DEF,7.8,5.48,0.0,0.0,6.72,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,6.98,0.0,0.0,0.0,3.95,0.0,0.0,4.34,0.0,6.49,0.0,5.61,0.0,6.21,4.1,0.94,2.19,3.67,2.61,6.94,2.66,6.47,75.55999999999999
14,1320,Julián Álvarez,MCI,FOR,8.6,4.03,0.0,0.0,3.54,0.0,0.0,3.81,0.0,0.0,3.57,0.0,0.0,0.0,3.66,0.0,0.0,2.88,0.0,0.0,0.0,0.2,0.0,2.98,0.0,3.43,3.38,4.24,1.16,3.07,3.63,4.09,3.6,2.6,4.07,57.940000000000005
15,884,Ivan Toney,BRE,FOR,8.7,5.02,0.0,0.0,4.8,0.0,0.0,3.58,0.0,0.0,0.0,0.0,4.94,5.25,0.0,0.0,3.57,0.0,0.0,0.0,4.68,0.0,5.02,0.0,5.13,0.0,4.23,6.14,4.83,0.1,4.75,5.61,4.99,0.15,5.04,77.83000000000001
16,655,Alphonse Areola,WHU,GK,6.6,0.0,3.83,0.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.34,4.25,0.0,0.0,0.0,4.77,0.0,0.0,0.0,2.29,3.51,0.0,3.99,0.0,4.45,4.55,4.27,1.56,3.52,3.61,5.07,0.38,3.13,61.750000000000014
17,400,Kyle Walker,MCI,DEF,8.6,6.05,0.0,0.0,4.23,0.0,0.0,5.55,0.0,0.0,4.82,0.0,0.0,0.0,4.75,0.0,0.0,2.41,0.0,0.0,0.0,0.24,0.0,3.21,0.0,3.57,5.16,5.08,0.96,3.2,4.89,5.27,4.06,2.36,5.5,71.31
18,1247,Dominic Solanke,BOU,FOR,7.8,5.04,0.0,0.0,4.54,0.0,0.0,0.0,0.0,0.0,4.15,0.0,0.0,0.0,5.15,0.0,6.19,0.0,0.0,6.35,1.0,0.0,5.58,0.0,5.44,0.0,5.23,5.61,2.33,3.7,5.37,3.82,5.47,2.34,4.5,81.81
19,3421,Guglielmo Vicario,TOT,GK,7.0,4.52,0.0,0.0,5.24,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,5.41,0.0,0.0,0.0,4.06,0.0,0.0,4.17,0.0,5.14,0.0,4.87,0.0,5.41,3.98,1.2,2.27,3.97,3.36,5.78,3.15,5.51,68.22999999999999
