,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,8.63,0.0,0.0,6.44,0.0,0.0,0.0,0.0,0.0,6.09,0.0,7.48,0.0,7.08,0.0,0.0,9.15,0.0,0.0,1.64,6.82,7.78,0.0,9.03,0.0,7.82,5.96,9.12,93.04
1,645,Ollie Watkins,AVL,FOR,9.3,5.39,0.0,0.0,0.0,6.42,0.0,0.0,0.0,5.24,6.18,0.0,0.0,3.34,0.0,5.67,0.0,0.0,3.43,0.0,0.0,6.4,0.0,5.63,0.0,4.43,0.0,5.13,0.0,4.54,61.8
2,398,Rodri,MCI,MID,9.4,0.0,6.47,0.0,0.0,5.01,0.0,0.0,0.0,0.0,0.0,4.94,0.0,5.44,0.0,6.09,0.0,0.0,5.99,0.0,0.0,1.11,5.01,6.06,0.0,6.45,0.0,5.96,4.54,6.73,69.80000000000001
3,13,William Saliba,ARS,DEF,9.0,0.0,0.0,6.86,5.68,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,6.2,0.0,3.72,0.0,0.0,4.42,0.0,0.0,1.28,4.55,3.21,0.0,5.61,0.0,4.58,4.09,5.96,58.65999999999999
4,369,Virgil van Dijk,LIV,DEF,9.9,6.61,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,5.09,0.0,0.0,7.58,0.0,5.16,0.0,0.0,6.7,0.0,1.36,5.61,6.09,0.0,4.34,0.0,4.17,4.13,6.5,66.82
5,72,Pascal Groß,BHA,MID,8.2,0.0,0.0,0.0,0.0,7.61,0.0,0.0,0.0,0.0,0.0,5.42,0.0,6.54,0.0,5.01,0.0,0.0,6.32,0.0,0.0,1.36,2.77,6.46,0.99,5.73,0.97,6.24,4.61,7.05,67.08000000000001
6,1105,Hwang Hee-chan,WOL,MID,7.3,0.47,0.0,0.0,1.98,0.0,0.0,0.0,0.0,0.0,3.47,0.0,3.82,0.0,0.0,4.32,0.0,0.0,3.62,0.0,0.0,0.79,3.69,4.51,0.0,2.87,0.0,3.99,3.18,3.27,39.980000000000004
7,1256,Jan Paul van Hecke,BHA,DEF,6.7,5.19,0.0,0.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,2.62,0.0,4.7,0.0,3.27,0.0,0.0,5.4,0.0,0.0,0.95,1.74,4.95,0.7,4.49,0.72,4.02,3.17,5.05,52.95
8,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,6.46,6.04,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,6.92,0.0,4.5,0.0,0.0,5.4,0.0,0.0,1.26,5.7,5.14,0.0,6.38,0.0,4.79,3.99,5.9,66.13000000000001
9,884,Ivan Toney,BRE,FOR,8.7,5.72,0.0,0.0,3.63,0.0,0.0,0.0,5.14,0.0,5.34,0.0,0.0,5.17,0.0,4.16,0.0,0.0,5.91,0.0,0.0,5.19,0.0,4.79,0.0,5.82,0.0,5.02,0.0,5.56,61.45
