,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,6.8,0.0,0.0,0.0,0.0,0.0,6.04,0.0,7.81,0.0,7.26,0.0,0.0,9.57,0.0,0.0,1.72,7.13,8.11,0.0,9.42,0.0,8.02,6.11,9.48,87.47
1,398,Rodri,MCI,MID,9.4,5.28,0.0,0.0,0.0,0.0,0.0,4.94,0.0,5.8,0.0,6.38,0.0,0.0,6.43,0.0,0.0,1.16,5.24,6.12,0.0,6.59,0.0,6.04,4.52,6.84,65.34
2,645,Ollie Watkins,AVL,FOR,9.3,6.82,0.0,0.0,0.0,5.49,6.46,0.0,0.0,3.51,0.0,5.88,0.0,0.0,3.5,0.0,0.0,6.63,0.0,5.88,0.0,4.52,0.0,5.3,0.0,4.61,58.599999999999994
3,13,William Saliba,ARS,DEF,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,6.14,0.0,3.72,0.0,0.0,4.61,0.0,0.0,1.3,4.61,3.27,0.0,5.89,0.0,4.73,4.15,6.11,47.07
4,1247,Dominic Solanke,BOU,FOR,7.8,0.0,0.0,5.99,0.0,0.0,5.49,0.0,5.09,0.0,0.0,5.03,0.0,0.0,0.0,5.26,0.0,4.37,3.84,5.11,0.0,3.58,0.0,5.45,1.02,4.46,54.690000000000005
5,369,Virgil van Dijk,LIV,DEF,9.9,3.71,0.0,0.0,0.0,0.0,0.0,5.39,0.0,0.0,8.04,0.0,5.36,0.0,0.0,6.98,0.0,1.42,5.83,6.34,0.0,4.59,0.0,4.71,4.4,6.88,63.65
6,1256,Jan Paul van Hecke,BHA,DEF,6.7,6.06,0.0,0.0,0.0,0.0,0.0,2.93,0.0,4.89,0.0,3.42,0.0,0.0,5.43,0.0,0.0,0.97,1.77,5.13,0.71,4.65,0.71,4.11,3.18,5.22,49.17999999999999
7,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,0.0,0.0,0.0,0.0,4.05,0.0,7.8,0.0,5.03,0.0,0.0,6.03,0.0,0.0,1.39,6.33,5.61,0.0,7.23,0.0,5.44,4.54,6.56,60.01
8,397,Cole Palmer,CHE,MID,6.5,0.0,6.06,0.0,0.0,0.0,6.1,0.0,0.0,0.0,5.75,0.0,6.04,0.0,0.0,0.0,5.96,0.99,3.8,4.48,2.0,6.63,2.02,5.23,4.86,6.06,65.98
9,383,Phil Foden,MCI,MID,9.5,4.6,0.0,0.0,0.0,0.0,0.0,4.18,0.0,5.17,0.0,5.58,0.0,0.0,5.96,0.0,0.0,1.08,4.55,5.36,0.0,5.83,0.0,5.08,3.79,6.81,57.99
10,100,Lewis Dunk,BHA,DEF,8.3,6.49,0.0,0.0,0.0,0.0,0.0,3.27,0.0,5.33,0.0,3.9,0.0,0.0,5.88,0.0,0.0,1.1,2.15,5.58,0.81,5.27,0.81,4.6,3.75,5.65,54.59
11,72,Pascal Groß,BHA,MID,8.2,7.66,0.0,0.0,0.0,0.0,0.0,5.41,0.0,6.33,0.0,4.78,0.0,0.0,5.96,0.0,0.0,1.26,2.56,6.39,0.95,5.77,0.92,5.71,4.34,6.51,64.55000000000001
12,525,Son Heung-min,TOT,MID,9.7,6.0,0.0,0.0,6.17,0.0,7.83,0.0,6.18,0.0,0.0,0.0,0.0,7.62,5.73,0.0,0.0,1.11,2.42,5.21,1.3,5.15,1.3,7.77,4.6,6.85,75.23999999999998
13,610,Jarrod Bowen,WHU,MID,8.8,5.65,0.0,0.0,0.0,5.01,4.28,0.0,4.96,0.0,0.0,4.32,0.0,0.0,5.06,0.0,0.0,4.17,0.0,4.43,0.0,4.17,0.0,5.62,0.0,3.27,50.940000000000005
14,373,Ederson,MCI,GK,7.8,3.98,0.0,0.0,0.0,0.0,0.0,4.39,0.0,4.97,0.0,5.86,0.0,0.0,5.77,0.0,0.0,1.01,4.54,5.64,0.0,6.08,0.0,5.26,3.87,6.15,57.51999999999999
15,1396,Neto,BOU,GK,6.6,0.0,0.0,5.14,0.0,0.0,4.65,0.0,4.79,0.0,0.0,4.39,0.0,0.0,0.0,4.25,0.0,3.97,3.62,4.56,0.0,3.47,0.0,4.53,0.96,3.83,48.16
16,884,Ivan Toney,BRE,FOR,8.7,0.0,0.0,0.0,5.41,0.0,5.54,0.0,0.0,5.31,0.0,4.31,0.0,0.0,6.1,0.0,0.0,5.35,0.0,4.85,0.0,5.87,0.0,5.2,0.0,5.39,53.33
17,394,Kevin De Bruyne,MCI,MID,10.9,4.33,0.0,0.0,0.0,0.0,0.0,3.59,0.0,4.66,0.0,5.36,0.0,0.0,5.41,0.0,0.0,0.91,3.97,5.39,0.0,5.55,0.0,4.84,3.46,6.25,53.71999999999999
18,387,Nathan Aké,MCI,DEF,8.9,3.11,0.0,0.0,0.0,0.0,0.0,2.81,0.0,3.56,0.0,4.57,0.0,0.0,4.48,0.0,0.0,0.63,2.87,4.76,0.0,4.65,0.0,3.87,2.49,5.13,42.93
19,655,Alphonse Areola,WHU,GK,6.6,4.88,0.0,0.0,0.0,4.23,3.64,0.0,3.86,0.0,0.0,4.19,0.0,0.0,4.33,0.0,0.0,4.36,0.0,3.58,0.0,3.63,0.0,4.91,0.0,3.17,44.78
20,236,Jordan Pickford,EVE,GK,7.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,3.74,0.0,0.0,4.84,0.0,0.0,0.0,0.0,3.75,4.83,3.19,4.36,0.0,4.56,0.0,5.62,0.35,3.38,42.71
21,400,Kyle Walker,MCI,DEF,8.6,2.49,0.0,0.0,0.0,0.0,0.0,2.65,0.0,3.28,0.0,4.6,0.0,0.0,4.29,0.0,0.0,0.6,2.75,4.13,0.0,4.31,0.0,3.67,2.34,4.98,40.09
22,1397,Marcos Senesi,BOU,DEF,6.9,0.0,0.0,0.0,0.0,0.0,0.53,0.0,1.16,0.0,0.0,2.11,0.0,0.0,0.0,2.77,0.0,1.84,2.2,2.43,0.0,0.98,0.0,2.98,0.6,1.73,19.330000000000002
23,624,Pedro Neto,WOL,MID,7.6,0.0,0.0,0.0,0.0,0.0,3.48,0.0,3.94,0.0,0.0,4.49,0.0,0.0,3.54,0.0,0.0,0.7,3.39,4.04,0.0,2.52,0.0,3.39,2.63,2.85,34.97
24,1072,Cristian Romero,TOT,DEF,7.9,4.01,0.0,0.0,4.47,0.0,5.96,0.0,4.98,0.0,0.0,0.0,0.0,5.78,3.55,0.0,0.0,0.55,1.23,3.08,0.76,2.03,0.76,5.99,2.49,6.07,51.71000000000001
25,1011,José Sá,WOL,GK,6.9,0.0,0.0,0.0,0.0,0.0,3.76,0.0,4.45,0.0,0.0,4.47,0.0,0.0,4.21,0.0,0.0,0.91,3.97,4.99,0.0,3.34,0.0,4.91,3.55,3.34,41.89999999999999
26,1105,Hwang Hee-chan,WOL,MID,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.67,3.13,4.61,0.0,2.92,0.0,4.09,3.23,3.38,23.04
27,20,Gabriel Dos Santos,ARS,DEF,9.3,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,6.97,0.0,4.0,0.0,0.0,4.99,0.0,0.0,1.33,4.91,3.59,0.0,6.02,0.0,4.66,4.09,6.28,49.599999999999994
28,207,Jarrad Branthwaite,EVE,DEF,7.0,0.0,0.0,0.0,0.0,0.0,2.72,0.0,1.78,0.0,0.0,3.44,0.0,0.0,0.0,0.0,2.01,3.35,1.58,2.78,0.0,3.34,0.0,4.28,0.18,1.3,26.76
29,3421,Guglielmo Vicario,TOT,GK,7.0,4.02,0.0,0.0,4.16,0.0,4.95,0.0,4.7,0.0,0.0,0.0,0.0,5.32,3.88,0.0,0.0,0.82,1.76,3.78,0.87,3.35,0.87,5.34,3.2,5.6,52.62
30,710,Rúben Dias,MCI,DEF,9.7,3.74,0.0,0.0,0.0,0.0,0.0,3.89,0.0,4.77,0.0,5.99,0.0,0.0,5.67,0.0,0.0,0.82,3.94,5.88,0.0,6.18,0.0,5.29,3.34,6.54,56.050000000000004
31,1197,Luis Díaz,LIV,MID,9.6,3.82,0.0,0.0,0.0,0.0,0.0,4.81,0.0,0.0,5.91,0.0,4.37,0.0,0.0,4.69,0.0,1.12,4.27,4.64,0.0,5.0,0.0,4.08,3.44,5.18,51.33
32,46,Douglas Luiz,AVL,MID,8.0,4.67,0.0,0.0,0.0,5.61,5.47,0.0,0.0,2.78,0.0,4.75,0.0,0.0,2.9,0.0,0.0,5.51,0.0,4.47,0.0,3.79,0.0,3.96,0.0,5.08,48.989999999999995
33,598,Declan Rice,ARS,MID,8.1,0.0,0.0,0.0,0.0,0.0,0.0,2.91,0.0,5.45,0.0,3.61,0.0,0.0,4.21,0.0,0.0,1.08,4.22,3.44,0.0,4.94,0.0,4.48,3.38,5.04,42.760000000000005
34,3208,Illia Zabarnyi,BOU,DEF,6.6,0.0,0.0,4.26,0.0,0.0,3.39,0.0,4.04,0.0,0.0,3.01,0.0,0.0,0.0,2.77,0.0,1.88,2.3,2.42,0.0,1.05,0.0,2.98,0.61,1.73,30.44
35,1215,Alejandro Garnacho,MUN,MID,7.5,0.0,0.0,0.0,0.0,0.0,3.91,0.0,0.0,0.0,3.77,0.0,4.36,0.0,0.0,4.1,0.0,2.75,4.63,5.38,0.0,3.9,0.0,3.66,3.06,3.81,43.33
36,872,David Raya,ARS,GK,7.3,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.36,0.0,5.08,0.0,0.0,5.34,0.0,0.0,1.36,5.32,5.01,0.0,5.92,0.0,5.23,4.44,6.04,54.6
37,1744,Kudus Mohammed,WHU,MID,8.1,4.64,0.0,0.0,0.0,4.45,3.81,0.0,4.22,0.0,0.0,3.63,0.0,0.0,4.14,0.0,0.0,3.71,0.0,3.92,0.0,3.72,0.0,4.72,0.0,2.78,43.74
38,1320,Julián Álvarez,MCI,FOR,8.6,3.44,0.0,0.0,0.0,0.0,0.0,2.96,0.0,3.62,0.0,3.47,0.0,0.0,4.08,0.0,0.0,0.78,3.28,3.59,0.0,4.11,0.0,3.63,2.81,4.16,39.93000000000001
39,1558,André Onana,MUN,GK,7.3,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0.0,3.64,0.0,3.83,0.0,0.0,4.09,0.0,2.42,4.69,5.32,0.0,4.73,0.0,3.89,2.96,4.08,43.64
40,327,James Maddison,TOT,MID,9.3,4.73,0.0,0.0,4.76,0.0,5.88,0.0,5.5,0.0,0.0,0.0,0.0,6.08,4.52,0.0,0.0,0.8,1.76,3.7,0.96,3.73,0.95,5.56,3.23,5.76,57.92
41,1168,Vitaliy Mykolenko,EVE,DEF,7.6,0.0,0.0,0.0,0.0,0.0,3.31,0.0,2.34,0.0,0.0,3.88,0.0,0.0,0.0,0.0,2.63,3.74,2.13,3.21,0.0,3.86,0.0,4.63,0.24,1.84,31.81
42,1175,Kieran Trippier,NEW,DEF,9.1,0.0,0.0,0.0,0.0,0.0,1.28,0.0,2.02,0.0,0.0,2.68,0.0,0.0,4.54,0.0,0.0,2.53,4.58,8.13,0.0,5.55,0.0,4.96,2.92,4.5,43.69
43,404,James Garner,EVE,MID,6.5,0.0,0.0,0.0,0.0,0.0,3.14,0.0,2.92,0.0,0.0,2.96,0.0,0.0,0.0,0.0,3.11,2.95,2.73,2.82,0.0,3.12,0.0,3.39,0.3,2.6,30.040000000000003
