,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,Total_Pts
0,397,Cole Palmer,CHE,MID,6.5,6.04,0.0,0.0,0.0,5.82,0.0,6.1,0.0,0.0,0.0,5.99,0.0,0.0,3.68,0.0,0.0,4.36,0.0,6.54,5.72,5.24,4.46,6.17,60.120000000000005
1,645,Ollie Watkins,AVL,FOR,9.3,6.37,0.0,0.0,3.47,0.0,5.76,0.0,0.0,0.0,3.44,0.0,0.0,6.55,0.0,0.0,0.0,5.45,0.0,4.42,0.0,5.15,0.0,4.53,45.14
2,525,Son Heung-min,TOT,MID,9.7,7.85,0.0,6.09,0.0,0.0,0.0,0.0,7.42,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.14,5.06,5.53,7.59,5.02,6.85,62.190000000000005
3,1280,Erling Haaland,MCI,FOR,12.0,0.0,5.94,0.0,7.73,0.0,7.13,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0,6.98,0.0,7.84,9.31,0.0,7.88,7.66,9.26,79.30000000000001
4,1247,Dominic Solanke,BOU,FOR,7.8,5.48,0.0,5.02,0.0,0.0,5.05,0.0,0.0,5.23,0.0,0.0,0.0,4.34,0.0,4.83,0.0,0.0,5.02,3.54,0.0,5.39,0.0,4.39,48.29
5,1072,Cristian Romero,TOT,DEF,7.9,6.03,0.0,5.02,0.0,0.0,0.0,0.0,5.92,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,2.11,3.52,5.99,2.7,6.21,44.220000000000006
6,398,Rodri,MCI,MID,9.4,0.0,4.81,0.0,5.89,0.0,6.41,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,6.11,6.57,0.0,5.99,5.33,6.82,60.06
7,610,Jarrod Bowen,WHU,MID,8.8,4.2,0.0,4.83,0.0,0.0,4.26,0.0,0.0,0.0,5.18,0.0,0.0,4.1,0.0,0.0,0.0,4.32,0.0,4.08,0.0,5.6,0.0,3.24,39.81
8,13,William Saliba,ARS,DEF,9.0,0.0,2.64,0.0,6.14,0.0,3.97,0.0,0.0,0.0,4.85,0.0,5.23,0.0,4.8,0.0,0.0,0.0,3.29,5.92,0.0,4.86,0.0,6.06,47.760000000000005
9,1256,Jan Paul van Hecke,BHA,DEF,6.7,0.0,2.81,0.0,4.88,0.0,3.2,0.0,0.0,5.32,0.0,0.0,0.0,0.0,0.0,0.0,2.96,0.0,5.04,4.77,0.0,4.07,4.43,5.23,42.709999999999994
10,369,Virgil van Dijk,LIV,DEF,9.9,0.0,5.71,0.0,0.0,8.19,0.0,5.55,0.0,0.0,7.2,0.0,0.0,5.71,0.0,5.71,0.0,6.37,0.0,4.71,0.0,5.07,0.0,7.03,61.25
11,1396,Neto,BOU,GK,6.6,4.59,0.0,4.79,0.0,0.0,4.34,0.0,0.0,4.26,0.0,0.0,0.0,4.02,0.0,4.63,0.0,0.0,4.59,3.48,0.0,4.53,0.0,3.83,43.059999999999995
12,100,Lewis Dunk,BHA,DEF,8.3,0.0,3.21,0.0,5.36,0.0,3.77,0.0,0.0,5.82,0.0,0.0,0.0,0.0,0.0,0.0,3.64,0.0,5.56,5.43,0.0,4.61,5.1,5.71,48.21
13,21,Bukayo Saka,ARS,MID,10.4,0.0,3.94,0.0,7.62,0.0,4.82,0.0,0.0,0.0,5.84,0.0,5.36,0.0,6.22,0.0,0.0,0.0,5.37,6.99,0.0,5.28,0.0,6.4,57.84
14,383,Phil Foden,MCI,MID,9.5,0.0,4.12,0.0,5.23,0.0,5.68,0.0,0.0,6.01,0.0,0.0,0.0,0.0,0.0,0.0,4.61,0.0,5.35,5.79,0.0,5.04,4.76,6.66,53.25
15,884,Ivan Toney,BRE,FOR,8.7,5.41,0.0,0.0,5.13,0.0,4.23,0.0,0.0,5.96,0.0,0.0,5.3,0.0,0.0,0.0,0.0,4.54,0.0,5.68,0.0,5.1,0.0,5.22,46.57
16,327,James Maddison,TOT,MID,9.3,5.98,0.0,5.52,0.0,0.0,0.0,0.0,6.29,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64,3.65,4.09,5.55,3.5,5.98,48.739999999999995
17,655,Alphonse Areola,WHU,GK,6.6,3.66,0.0,3.84,0.0,0.0,4.25,0.0,0.0,0.0,4.47,0.0,0.0,4.38,0.0,0.0,0.0,3.56,0.0,3.64,0.0,4.87,0.0,3.17,35.839999999999996
18,3212,Pedro Porro,TOT,DEF,7.8,6.48,0.0,5.43,0.0,0.0,0.0,0.0,6.41,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.59,3.75,6.28,2.85,6.63,47.42
19,72,Pascal Groß,BHA,MID,8.2,0.0,5.48,0.0,6.39,0.0,4.68,0.0,0.0,5.92,0.0,0.0,0.0,0.0,0.0,0.0,4.42,0.0,6.5,6.0,0.0,5.77,5.9,6.61,57.669999999999995
20,373,Ederson,MCI,GK,7.8,0.0,4.33,0.0,4.99,0.0,5.98,0.0,0.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,5.69,6.07,0.0,5.12,4.47,6.04,53.2
21,3421,Guglielmo Vicario,TOT,GK,7.0,4.9,0.0,4.6,0.0,0.0,0.0,0.0,5.42,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79,3.32,3.81,5.27,3.71,5.69,44.38999999999999
22,20,Gabriel Dos Santos,ARS,DEF,9.3,0.0,2.84,0.0,7.05,0.0,4.25,0.0,0.0,0.0,5.26,0.0,5.41,0.0,5.13,0.0,0.0,0.0,3.58,6.12,0.0,4.85,0.0,6.29,50.779999999999994
23,3384,Carlton Morris,LUT,FOR,7.1,3.31,0.0,0.0,2.72,0.0,3.92,0.0,0.0,2.48,0.0,0.0,3.69,0.0,0.0,0.0,0.0,3.19,0.0,3.71,0.0,3.39,0.0,3.81,30.220000000000002
24,3208,Illia Zabarnyi,BOU,DEF,6.6,3.35,0.0,4.26,0.0,0.0,2.98,0.0,0.0,2.89,0.0,0.0,0.0,1.95,0.0,2.98,0.0,0.0,2.52,1.03,0.0,3.07,0.0,1.7,26.73
25,236,Jordan Pickford,EVE,GK,7.0,4.04,0.0,3.69,0.0,0.0,4.74,0.0,0.0,0.0,0.0,3.69,0.0,4.83,0.0,3.28,0.0,4.11,0.0,4.45,0.0,5.67,0.0,3.33,41.830000000000005
26,1011,José Sá,WOL,GK,6.9,3.77,0.0,4.39,0.0,0.0,4.38,0.0,0.0,4.17,0.0,0.0,3.58,0.0,0.0,4.61,0.0,4.67,0.0,3.29,0.0,4.88,0.0,3.26,41.0
27,598,Declan Rice,ARS,MID,8.1,0.0,2.89,0.0,5.32,0.0,3.58,0.0,0.0,0.0,4.21,0.0,4.12,0.0,4.23,0.0,0.0,0.0,3.38,4.81,0.0,4.38,0.0,4.84,41.760000000000005
28,46,Douglas Luiz,AVL,MID,8.0,5.33,0.0,0.0,2.78,0.0,4.66,0.0,0.0,0.0,2.79,0.0,0.0,5.4,0.0,0.0,0.0,4.22,0.0,3.82,0.0,3.87,0.0,5.15,38.019999999999996
29,351,Mohamed Salah,LIV,MID,11.5,0.0,7.2,0.0,0.0,9.14,0.0,6.64,0.0,0.0,7.32,0.0,0.0,6.76,0.0,6.35,0.0,6.85,0.0,7.66,0.0,6.12,0.0,8.25,72.29
30,3243,Thomas Kaminski,LUT,GK,6.3,3.03,0.0,0.0,2.87,0.0,3.93,0.0,0.0,2.6,0.0,0.0,3.92,0.0,0.0,0.0,0.0,3.84,0.0,4.18,0.0,3.68,0.0,3.98,32.03
31,3381,Malo Gusto,CHE,DEF,6.8,4.93,0.0,0.0,0.0,3.75,0.0,4.6,0.0,0.0,0.0,2.69,0.0,0.0,1.09,0.0,0.0,1.44,0.0,2.13,1.63,1.78,1.39,1.96,27.39
32,1910,Micky van de Ven,TOT,DEF,7.9,5.44,0.0,4.74,0.0,0.0,0.0,0.0,5.74,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,1.79,3.1,5.61,2.42,6.02,40.96000000000001
33,400,Kyle Walker,MCI,DEF,8.6,0.0,2.6,0.0,3.38,0.0,4.76,0.0,0.0,4.22,0.0,0.0,0.0,0.0,0.0,0.0,3.07,0.0,4.24,4.27,0.0,3.58,2.69,4.87,37.68
34,387,Nathan Aké,MCI,DEF,8.9,0.0,2.74,0.0,3.67,0.0,4.73,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,3.17,0.0,4.87,4.62,0.0,3.79,2.87,5.02,39.89
35,3406,Alfie Doughty,LUT,DEF,6.9,1.42,0.0,0.0,0.81,0.0,3.23,0.0,0.0,0.36,0.0,0.0,2.98,0.0,0.0,0.0,0.0,2.73,0.0,3.25,0.0,2.68,0.0,3.11,20.57
36,3199,Đorđe Petrović,CHE,GK,6.3,4.84,0.0,0.0,0.0,4.13,0.0,4.92,0.0,0.0,0.0,4.64,0.0,0.0,3.46,0.0,0.0,3.76,0.0,4.53,3.97,4.34,4.05,4.55,47.19
37,1744,Kudus Mohammed,WHU,MID,8.1,3.63,0.0,3.98,0.0,0.0,3.46,0.0,0.0,0.0,4.12,0.0,0.0,3.5,0.0,0.0,0.0,3.68,0.0,3.48,0.0,4.55,0.0,2.68,33.080000000000005
38,172,Ross Barkley,LUT,MID,7.2,3.17,0.0,0.0,2.69,0.0,3.92,0.0,0.0,2.41,0.0,0.0,3.72,0.0,0.0,0.0,0.0,3.27,0.0,3.8,0.0,3.83,0.0,3.71,30.520000000000003
39,207,Jarrad Branthwaite,EVE,DEF,7.0,2.63,0.0,1.77,0.0,0.0,3.37,0.0,0.0,0.0,0.0,1.94,0.0,3.35,0.0,1.58,0.0,2.6,0.0,3.25,0.0,4.32,0.0,1.25,26.060000000000002
40,1558,André Onana,MUN,GK,7.3,3.96,0.0,0.0,0.0,3.61,0.0,3.77,0.0,4.07,0.0,0.0,0.0,0.0,0.0,5.63,0.0,4.99,0.0,4.76,0.0,3.88,4.22,4.08,42.97
41,1405,Iyenoma Udogie,TOT,DEF,7.7,5.23,0.0,4.19,0.0,0.0,0.0,0.0,5.19,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71,1.92,2.79,5.05,2.34,5.22,37.43
42,1897,Mark Flekken,BRE,GK,6.9,4.6,0.0,0.0,4.76,0.0,4.07,0.0,0.0,5.85,0.0,0.0,4.81,0.0,0.0,0.0,0.0,4.49,0.0,4.84,0.0,4.62,0.0,4.4,42.44
43,1435,Alexander Isak,NEW,FOR,9.0,6.77,0.0,6.39,0.0,0.0,4.74,0.0,0.0,6.11,0.0,0.0,0.0,0.0,0.0,4.28,0.0,6.79,0.0,5.11,0.0,5.34,4.5,4.06,54.09
44,8,Emiliano Martínez,AVL,GK,7.1,5.21,0.0,0.0,3.08,0.0,4.69,0.0,0.0,0.0,3.19,0.0,0.0,5.0,0.0,0.0,0.0,4.08,0.0,4.08,0.0,3.69,0.0,5.07,38.089999999999996
