,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_25_Pts,MD_26_Pts,MD_27_Pts,Total_Pts
0,397,Cole Palmer,CHE,MID,6.5,3.2,0.0,4.45,7.65
1,1280,Erling Haaland,MCI,FOR,12.0,16.35,7.5,7.72,31.57
2,645,Ollie Watkins,AVL,FOR,9.3,4.76,6.37,4.9,16.03
3,398,Rodri,MCI,MID,9.4,12.93,6.19,6.06,25.18
4,369,Virgil van Dijk,LIV,DEF,9.9,12.91,0.0,6.3,19.21
5,13,William Saliba,ARS,DEF,9.0,5.78,4.99,6.21,16.98
6,394,Kevin De Bruyne,MCI,MID,10.9,10.43,5.01,5.16,20.6
7,72,Pascal Groß,BHA,MID,8.2,7.59,7.58,6.23,21.4
8,383,Phil Foden,MCI,MID,9.5,9.74,4.37,4.45,18.56
9,21,Bukayo Saka,ARS,MID,10.4,5.21,5.56,5.61,16.38
10,373,Ederson,MCI,GK,7.8,10.65,5.15,5.03,20.830000000000002
11,1256,Jan Paul van Hecke,BHA,DEF,6.7,6.28,5.67,4.42,16.369999999999997
12,100,Lewis Dunk,BHA,DEF,8.3,6.89,6.37,5.39,18.65
13,3212,Pedro Porro,TOT,DEF,7.8,6.81,0.0,6.98,13.79
14,1320,Julián Álvarez,MCI,FOR,8.6,7.02,3.34,3.37,13.73
15,884,Ivan Toney,BRE,FOR,8.7,8.38,4.99,5.3,18.67
16,655,Alphonse Areola,WHU,GK,6.6,4.23,4.36,4.27,12.86
17,400,Kyle Walker,MCI,DEF,8.6,9.6,4.48,4.34,18.42
18,1247,Dominic Solanke,BOU,FOR,7.8,4.46,4.08,5.1,13.639999999999999
19,3421,Guglielmo Vicario,TOT,GK,7.0,5.24,0.0,5.41,10.65
20,610,Jarrod Bowen,WHU,MID,8.8,4.25,4.77,4.11,13.129999999999999
21,633,Diogo Jota,LIV,MID,9.1,8.84,0.0,3.54,12.379999999999999
22,347,Alisson,LIV,GK,8.0,11.67,0.0,5.89,17.56
23,1406,Pervis Estupiñán,BHA,DEF,8.1,5.29,4.57,3.49,13.35
24,387,Nathan Aké,MCI,DEF,8.9,8.24,3.76,3.77,15.77
25,1545,Matheus Cunha,WOL,FOR,7.2,4.03,5.28,3.82,13.13
26,230,Richarlison,TOT,FOR,8.0,6.09,0.0,5.08,11.17
27,1275,Darwin Núñez,LIV,FOR,9.4,12.31,0.0,5.02,17.33
28,1175,Kieran Trippier,NEW,DEF,9.1,6.81,2.69,7.01,16.509999999999998
29,327,James Maddison,TOT,MID,9.3,5.56,0.0,5.41,10.969999999999999
30,236,Jordan Pickford,EVE,GK,7.0,4.79,4.01,4.59,13.39
31,710,Rúben Dias,MCI,DEF,9.7,10.12,4.86,5.0,19.98
32,8,Emiliano Martínez,AVL,GK,7.1,4.15,5.41,4.62,14.18
33,392,Bernardo Silva,MCI,MID,8.3,6.07,2.77,3.0,11.84
34,3406,Alfie Doughty,LUT,DEF,6.9,3.72,0.0,2.67,6.390000000000001
35,598,Declan Rice,ARS,MID,8.1,4.78,4.87,4.87,14.52
36,337,Trent Alexander-Arnold,LIV,DEF,10.0,11.0,0.0,6.29,17.29
37,1072,Cristian Romero,TOT,DEF,7.9,5.93,0.0,6.36,12.29
38,872,David Raya,ARS,GK,7.3,5.48,4.92,5.98,16.380000000000003
39,46,Douglas Luiz,AVL,MID,8.0,3.82,5.28,4.13,13.23
40,959,João Pedro,BHA,FOR,7.7,0.0,0.0,0.8,0.8
41,412,Bruno Fernandes,MUN,MID,10.7,5.23,5.92,3.29,14.440000000000001
42,20,Gabriel Dos Santos,ARS,DEF,9.3,6.01,5.24,6.45,17.7
43,2405,Axel Disasi,CHE,DEF,8.4,1.56,0.0,3.69,5.25
44,624,Pedro Neto,WOL,MID,7.6,3.09,3.95,2.98,10.02
