,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,MD_25_Pts,MD_26_Pts,MD_27_Pts,MD_28_Pts,MD_29_Pts,MD_30_Pts,MD_31_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,0.0,9.14,0.0,7.62,0.0,0.0,9.35,0.0,7.53,0.0,0.0,0.0,6.0,7.35,0.0,0.0,0.0,0.0,6.34,9.29,6.73,7.45,8.42,6.58,0.0,7.83,7.89,0.0,7.95,9.22,6.0,130.69
1,21,Bukayo Saka,ARS,MID,10.4,0.0,0.0,6.0,5.46,0.0,0.0,0.0,6.26,5.82,0.0,0.0,0.0,4.0,4.82,0.0,0.0,0.0,6.08,0.0,4.46,5.76,4.78,6.21,5.49,0.0,4.66,5.44,4.65,6.6,5.16,5.88,97.52999999999999
2,351,Mohamed Salah,LIV,MID,11.5,0.0,0.0,6.68,6.55,0.0,0.0,0.0,7.34,5.51,0.0,0.0,0.0,5.33,7.23,0.0,0.0,0.0,0.0,7.11,6.22,6.56,4.08,7.03,6.23,0.0,5.41,6.17,5.77,5.85,5.53,6.52,111.11999999999999
3,417,Marcus Rashford,MUN,MID,10.9,0.0,0.0,5.34,6.78,0.0,0.0,5.85,0.0,6.72,0.0,0.0,7.05,0.0,0.0,6.38,0.0,0.0,0.0,4.69,6.1,7.64,6.21,4.84,0.0,6.82,8.49,5.2,6.03,6.57,6.33,7.35,114.38999999999997
4,1435,Alexander Isak,NEW,FOR,9.0,0.0,3.35,0.0,0.0,4.53,0.0,0.0,3.73,4.41,0.0,0.0,0.0,3.83,4.06,0.0,0.0,0.0,3.71,0.0,3.98,4.06,4.34,4.18,3.79,0.0,3.61,4.73,3.69,4.85,3.32,3.2,71.36999999999999
5,1175,Kieran Trippier,NEW,DEF,9.1,0.0,3.73,0.0,0.0,6.27,0.0,0.0,5.98,5.47,0.0,0.0,0.0,5.82,6.37,0.0,0.0,0.0,5.33,0.0,4.1,6.02,5.2,5.4,5.66,0.0,4.43,6.19,6.02,7.21,3.09,3.67,95.96
6,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,3.81,0.0,3.39,0.0,0.0,0.0,6.5,3.75,0.0,0.0,0.0,3.32,1.62,0.0,0.0,0.0,0.0,4.62,4.95,5.64,5.34,3.19,4.7,0.0,4.54,2.23,4.54,4.27,4.94,5.34,76.69
7,13,William Saliba,ARS,DEF,9.0,0.0,0.0,4.84,5.32,0.0,0.0,0.0,5.28,5.44,0.0,0.0,0.0,3.18,3.46,0.0,0.0,0.0,6.19,0.0,3.19,5.1,4.6,5.99,5.36,0.0,3.95,3.9,2.68,5.99,4.44,5.8,84.71000000000001
8,645,Ollie Watkins,AVL,FOR,9.3,0.0,0.0,4.77,5.93,0.0,0.0,0.0,4.82,5.9,0.0,0.0,0.0,5.46,0.0,6.32,0.0,0.0,6.44,0.0,5.45,6.71,4.89,5.69,4.3,0.0,5.47,4.92,6.88,4.62,6.4,5.35,100.32000000000001
9,398,Rodri,MCI,MID,9.4,0.0,6.85,0.0,6.64,0.0,0.0,7.07,0.0,6.27,0.0,0.0,0.0,5.23,5.79,0.0,0.0,0.0,0.0,5.87,7.44,5.99,6.0,6.77,5.97,0.0,6.64,6.72,0.0,6.48,6.86,5.61,108.2
10,337,Trent Alexander-Arnold,LIV,DEF,10.0,0.0,0.0,5.52,5.69,0.0,0.0,0.0,6.5,4.11,0.0,0.0,0.0,3.33,6.03,0.0,0.0,0.0,0.0,6.09,5.83,5.21,2.03,5.23,5.56,0.0,5.12,4.28,3.32,4.32,3.79,5.89,87.85
11,100,Lewis Dunk,BHA,DEF,8.3,0.0,4.75,0.0,4.33,0.0,0.0,0.0,7.01,5.09,0.0,0.0,0.0,4.39,2.89,0.0,0.0,0.0,0.0,5.82,6.06,6.95,6.27,4.41,5.97,0.0,5.72,3.33,5.89,5.41,5.82,6.69,96.79999999999998
12,373,Ederson,MCI,GK,7.8,0.0,6.01,0.0,6.35,0.0,0.0,7.4,0.0,6.04,0.0,0.0,0.0,4.08,5.31,0.0,0.0,0.0,0.0,4.82,6.99,4.82,4.66,5.61,5.22,0.0,6.42,6.54,0.0,6.52,6.84,4.71,98.34
13,810,Martin Ødegaard,ARS,MID,10.3,0.0,0.0,5.35,5.0,0.0,0.0,0.0,5.8,5.39,0.0,0.0,0.0,3.61,4.01,0.0,0.0,0.0,5.41,0.0,3.78,5.2,4.5,5.72,4.72,0.0,4.06,4.75,4.01,6.32,4.61,5.31,87.55
14,1558,André Onana,MUN,GK,7.3,0.0,0.0,3.13,4.68,0.0,0.0,4.26,0.0,4.94,0.0,0.0,4.61,0.0,0.0,5.03,0.0,0.0,0.0,3.15,4.1,5.65,5.05,3.74,0.0,4.37,5.4,3.26,4.33,4.6,4.75,4.2,79.24999999999999
15,1260,Kaoru Mitoma,BHA,MID,8.0,0.0,4.27,0.0,4.05,0.0,0.0,0.0,5.46,3.97,0.0,0.0,0.0,4.34,3.02,0.0,0.0,0.0,0.0,4.54,4.29,4.78,4.36,3.81,4.42,0.0,4.6,3.59,3.89,4.5,4.18,4.84,76.91
16,483,Aaron Ramsdale,ARS,GK,7.5,0.0,0.0,4.1,4.26,0.0,0.0,0.0,3.8,3.89,0.0,0.0,0.0,2.89,3.42,0.0,0.0,0.0,4.3,0.0,3.25,3.99,5.15,4.08,3.78,0.0,3.17,3.69,2.8,3.63,3.25,3.84,67.28999999999999
17,121,Nick Pope,NEW,GK,7.6,0.0,4.85,0.0,0.0,5.25,0.0,0.0,5.33,5.47,0.0,0.0,0.0,4.79,5.45,0.0,0.0,0.0,5.21,0.0,4.42,5.32,4.97,5.09,5.64,0.0,4.27,5.38,5.49,5.91,3.88,3.98,90.69999999999997
18,598,Declan Rice,ARS,MID,8.1,0.0,0.0,3.98,3.53,0.0,0.0,0.0,3.92,3.87,0.0,0.0,0.0,2.39,2.58,0.0,0.0,0.0,3.27,0.0,2.54,2.7,2.98,3.33,3.17,0.0,2.73,2.69,2.56,4.25,2.92,3.59,57.0
19,2038,Nicolas Jackson,CHE,FOR,8.2,0.0,5.88,0.0,0.0,5.53,0.0,0.0,4.85,0.0,0.0,4.78,4.16,0.0,4.08,0.0,0.0,0.0,4.87,0.0,4.05,3.34,3.53,4.35,0.0,3.82,4.4,5.1,4.48,4.53,4.28,5.06,81.09
20,895,Bryan Mbeumo,BRE,MID,8.3,0.0,6.7,0.0,0.0,4.15,0.0,5.99,0.0,0.0,5.38,0.0,4.44,0.0,5.56,0.0,0.0,0.0,4.51,0.0,5.75,4.38,4.92,6.01,4.39,0.0,5.13,5.03,0.0,5.98,4.51,6.06,88.89000000000001
21,149,Ben Chilwell,CHE,DEF,8.5,0.0,5.84,0.0,0.0,4.97,0.0,0.0,4.28,0.0,0.0,3.94,3.97,0.0,3.01,0.0,0.0,0.0,4.19,0.0,3.1,2.49,2.72,3.67,0.0,2.87,4.14,5.21,4.32,4.52,4.61,4.5,72.35
22,400,Kyle Walker,MCI,DEF,8.6,0.0,4.51,0.0,4.44,0.0,0.0,5.0,0.0,3.48,0.0,0.0,0.0,2.0,2.5,0.0,0.0,0.0,0.0,2.64,4.27,2.56,2.53,3.17,2.62,0.0,3.33,3.46,0.0,3.34,3.57,2.23,55.64999999999999
