,sky_id,fbref_player,short_team,sky_pos,sky_value,MD_1_Pts,MD_2_Pts,MD_3_Pts,MD_4_Pts,MD_5_Pts,MD_6_Pts,MD_7_Pts,MD_8_Pts,MD_9_Pts,MD_10_Pts,MD_11_Pts,MD_12_Pts,MD_13_Pts,MD_14_Pts,MD_15_Pts,MD_16_Pts,MD_17_Pts,MD_18_Pts,MD_19_Pts,MD_20_Pts,MD_21_Pts,MD_22_Pts,MD_23_Pts,MD_24_Pts,Total_Pts
0,1280,Erling Haaland,MCI,FOR,12.0,8.07,0.0,0.0,0.0,0.0,6.7,9.46,0.0,0.0,0.0,6.26,7.5,0.0,0.0,0.0,8.15,0.0,6.55,7.83,7.59,0.0,0.0,0.0,0.0,68.11
1,351,Mohamed Salah,LIV,MID,11.5,8.17,0.0,0.0,0.0,0.0,7.59,0.0,6.33,0.0,0.0,6.64,4.31,0.0,0.0,0.0,7.41,0.0,6.92,5.54,6.48,5.74,6.19,5.7,6.77,83.78999999999999
2,21,Bukayo Saka,ARS,MID,10.4,4.45,0.0,0.0,0.0,5.59,0.0,3.72,0.0,0.0,4.86,0.0,3.85,0.0,0.0,5.36,0.0,4.64,0.0,4.01,4.7,4.05,5.4,4.43,5.01,60.06999999999999
3,1175,Kieran Trippier,NEW,DEF,9.1,7.76,0.0,0.0,0.0,6.38,0.0,4.68,0.0,0.0,6.01,0.0,5.63,0.0,0.0,5.97,0.0,6.08,0.0,4.31,7.08,6.93,7.78,4.08,4.39,77.08
4,645,Ollie Watkins,AVL,FOR,9.3,0.0,7.68,0.0,0.0,0.0,7.17,0.0,5.78,0.0,0.0,7.37,0.0,5.29,0.0,0.0,6.15,0.0,4.58,5.6,4.95,7.61,4.85,6.76,5.37,79.16000000000001
5,525,Son Heung-min,TOT,MID,9.7,0.0,0.0,6.73,4.84,0.0,0.0,0.0,0.0,5.63,5.53,0.0,0.0,5.41,0.0,0.0,3.66,0.0,6.2,4.99,5.26,6.11,4.68,6.73,4.65,70.42
6,13,William Saliba,ARS,DEF,9.0,2.75,0.0,0.0,0.0,6.53,0.0,3.41,0.0,0.0,5.84,0.0,4.4,0.0,0.0,6.14,0.0,5.79,0.0,3.84,3.98,3.18,5.97,4.67,6.21,62.71
7,373,Ederson,MCI,GK,7.8,5.13,0.0,0.0,0.0,0.0,4.6,5.95,0.0,0.0,0.0,4.42,4.48,0.0,0.0,0.0,4.98,0.0,4.84,6.15,6.33,0.0,0.0,0.0,0.0,46.88
8,417,Marcus Rashford,MUN,MID,10.9,6.37,0.0,0.0,0.0,0.0,4.6,5.9,0.0,0.0,6.87,0.0,0.0,5.32,0.0,4.45,0.0,0.0,6.01,7.58,4.74,5.52,5.9,5.52,6.44,75.22
9,400,Kyle Walker,MCI,DEF,8.6,3.91,0.0,0.0,0.0,0.0,3.32,4.69,0.0,0.0,0.0,3.11,3.39,0.0,0.0,0.0,3.71,0.0,3.54,4.75,5.14,0.0,0.0,0.0,0.0,35.56
10,327,James Maddison,TOT,MID,9.3,0.0,0.0,6.48,5.31,0.0,0.0,0.0,0.0,4.95,5.19,0.0,0.0,4.75,0.0,0.0,3.19,0.0,6.21,4.17,5.08,5.58,3.83,5.75,3.96,64.44999999999999
11,810,Martin Ødegaard,ARS,MID,10.3,4.02,0.0,0.0,0.0,5.57,0.0,3.54,0.0,0.0,4.82,0.0,3.85,0.0,0.0,5.36,0.0,4.51,0.0,3.85,4.62,3.85,5.54,4.29,4.98,58.8
12,1435,Alexander Isak,NEW,FOR,9.0,1.96,0.0,0.0,0.0,3.94,0.0,4.39,0.0,0.0,4.76,0.0,4.75,0.0,0.0,5.1,0.0,4.44,0.0,4.2,5.65,4.48,5.76,3.86,3.72,57.01
13,610,Jarrod Bowen,WHU,MID,8.8,0.0,3.64,0.0,0.0,0.0,4.58,3.48,0.0,0.0,0.0,4.42,3.47,0.0,0.0,0.0,4.03,0.0,3.6,3.79,4.54,3.91,3.18,3.94,3.94,50.52
14,1320,Julián Álvarez,MCI,FOR,8.6,4.81,0.0,0.0,0.0,0.0,4.17,5.57,0.0,0.0,0.0,4.05,4.55,0.0,0.0,0.0,4.9,0.0,4.02,4.7,4.49,0.0,0.0,0.0,0.0,41.26000000000001
15,1072,Cristian Romero,TOT,DEF,7.9,0.0,0.0,6.17,5.97,0.0,0.0,0.0,0.0,4.85,5.44,0.0,0.0,4.79,0.0,0.0,2.0,0.0,5.78,4.07,5.14,5.53,2.76,5.7,3.41,61.61
16,121,Nick Pope,NEW,GK,7.6,5.74,0.0,0.0,0.0,5.31,0.0,4.39,0.0,0.0,5.23,0.0,4.87,0.0,0.0,5.26,0.0,5.52,0.0,4.56,5.57,5.4,6.04,3.92,4.23,66.04
17,1260,Kaoru Mitoma,BHA,MID,8.0,3.17,0.0,0.0,0.0,0.0,4.71,4.0,0.0,0.0,0.0,5.13,3.97,0.0,0.0,0.0,3.64,0.0,4.17,4.37,3.27,3.54,4.08,3.9,4.53,52.48
18,1275,Darwin Núñez,LIV,FOR,9.4,4.15,0.0,0.0,0.0,0.0,3.6,0.0,3.04,0.0,0.0,3.44,2.05,0.0,0.0,0.0,3.47,0.0,3.33,2.75,3.13,2.83,3.06,2.81,3.37,41.03
19,100,Lewis Dunk,BHA,DEF,8.3,2.67,0.0,0.0,0.0,0.0,5.8,5.35,0.0,0.0,0.0,7.08,5.8,0.0,0.0,0.0,3.97,0.0,5.48,6.33,2.76,5.57,4.43,5.27,6.28,66.78999999999999
20,895,Bryan Mbeumo,BRE,MID,8.3,5.8,0.0,0.0,0.0,4.52,0.0,5.65,0.0,0.0,0.0,4.3,4.35,0.0,0.0,5.87,0.0,0.0,4.46,5.29,4.89,0.0,0.0,0.0,0.0,45.129999999999995
21,337,Trent Alexander-Arnold,LIV,DEF,10.0,7.01,0.0,0.0,0.0,0.0,6.87,0.0,6.48,0.0,0.0,5.7,2.47,0.0,0.0,0.0,6.0,0.0,6.73,6.04,4.62,3.44,5.53,4.15,5.54,70.58000000000001
22,598,Declan Rice,ARS,MID,8.1,3.46,0.0,0.0,0.0,4.69,0.0,3.1,0.0,0.0,3.8,0.0,3.16,0.0,0.0,3.83,0.0,3.89,0.0,2.88,2.95,2.91,4.41,3.18,4.25,46.51
23,710,Rúben Dias,MCI,DEF,9.7,5.1,0.0,0.0,0.0,0.0,4.86,6.4,0.0,0.0,0.0,4.51,5.11,0.0,0.0,0.0,5.18,0.0,4.85,6.58,6.59,0.0,0.0,0.0,0.0,49.17999999999999
24,1406,Pervis Estupiñán,BHA,DEF,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.0,4.74,0.0,0.0,0.0,2.97,0.0,4.29,4.98,2.15,4.46,3.52,4.31,5.18,40.160000000000004
25,505,James Ward-Prowse,WHU,MID,8.4,0.0,2.86,0.0,0.0,0.0,4.11,2.98,0.0,0.0,0.0,4.12,2.94,0.0,0.0,0.0,3.7,0.0,2.83,3.04,3.59,3.1,2.53,3.01,3.37,42.17999999999999
26,412,Bruno Fernandes,MUN,MID,10.7,6.96,0.0,0.0,0.0,0.0,4.42,5.74,0.0,0.0,6.89,0.0,0.0,5.5,0.0,4.31,0.0,0.0,5.63,7.1,4.69,6.1,5.61,5.97,6.06,74.98
27,347,Alisson,LIV,GK,8.0,6.52,0.0,0.0,0.0,0.0,6.21,0.0,5.57,0.0,0.0,5.55,3.9,0.0,0.0,0.0,5.49,0.0,6.11,5.88,5.24,4.52,5.64,4.98,5.75,71.36000000000001
28,1558,André Onana,MUN,GK,7.3,5.07,0.0,0.0,0.0,0.0,3.32,4.3,0.0,0.0,5.4,0.0,0.0,4.74,0.0,3.69,0.0,0.0,4.3,5.35,3.2,4.45,4.5,5.01,4.34,57.670000000000016
29,398,Rodri,MCI,MID,9.4,5.98,0.0,0.0,0.0,0.0,5.81,7.01,0.0,0.0,0.0,5.65,6.11,0.0,0.0,0.0,6.14,0.0,5.45,6.36,6.42,0.0,0.0,0.0,0.0,54.93
30,1097,Evan Ferguson,BHA,FOR,7.8,2.72,0.0,0.0,0.0,0.0,4.4,3.81,0.0,0.0,0.0,4.95,3.62,0.0,0.0,0.0,3.39,0.0,4.12,4.26,3.08,3.38,4.06,3.82,4.56,50.17000000000001
31,35,Matty Cash,AVL,DEF,7.7,0.0,5.69,0.0,0.0,0.0,6.07,0.0,4.38,0.0,0.0,5.22,0.0,3.14,0.0,0.0,4.64,0.0,2.85,3.61,3.33,5.79,3.03,5.17,3.79,56.71
32,483,Aaron Ramsdale,ARS,GK,7.5,0.26,0.0,0.0,0.0,0.43,0.0,0.37,0.0,0.0,0.56,0.0,4.88,0.0,0.0,0.7,0.0,0.61,0.0,0.54,0.69,0.55,0.72,0.68,0.78,11.770000000000001
33,383,Phil Foden,MCI,MID,9.5,3.35,0.0,0.0,0.0,0.0,3.08,3.83,0.0,0.0,0.0,2.92,3.32,0.0,0.0,0.0,3.49,0.0,2.99,3.43,3.3,0.0,0.0,0.0,0.0,29.710000000000004
34,1439,Manuel Akanji,MCI,DEF,9.2,3.27,0.0,0.0,0.0,0.0,2.72,3.82,0.0,0.0,0.0,2.66,3.03,0.0,0.0,0.0,3.24,0.0,3.13,4.91,4.79,0.0,0.0,0.0,0.0,31.57
35,93,Ben White,ARS,DEF,9.2,3.28,0.0,0.0,0.0,6.13,0.0,2.78,0.0,0.0,5.11,0.0,3.72,0.0,0.0,5.41,0.0,5.03,0.0,3.13,3.52,2.59,5.42,3.93,5.55,55.6
36,371,Andrew Robertson,LIV,DEF,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2405,Axel Disasi,CHE,DEF,8.4,2.04,0.0,0.0,0.0,4.03,0.0,0.0,0.0,2.6,0.0,2.12,2.34,0.0,0.0,0.0,2.76,0.0,2.61,3.94,4.56,3.93,4.61,4.4,3.92,43.86
38,3231,Moussa Diaby,AVL,MID,8.1,0.0,5.33,0.0,0.0,0.0,4.99,0.0,4.13,0.0,0.0,5.09,0.0,3.79,0.0,0.0,4.22,0.0,3.37,3.91,3.58,5.29,3.56,4.75,3.89,55.9
39,662,Callum Wilson,NEW,FOR,9.1,6.39,0.0,0.0,0.0,4.68,0.0,4.11,0.0,0.0,4.2,0.0,4.44,0.0,0.0,4.91,0.0,4.14,0.0,3.97,5.73,4.29,5.56,3.58,3.47,59.46999999999999
40,1197,Luis Díaz,LIV,MID,9.6,4.84,0.0,0.0,0.0,0.0,4.4,0.0,4.04,0.0,0.0,4.1,2.93,0.0,0.0,0.0,4.61,0.0,4.32,3.59,4.05,3.57,3.82,3.57,4.15,51.989999999999995
41,369,Virgil van Dijk,LIV,DEF,9.9,6.19,0.0,0.0,0.0,0.0,6.25,0.0,5.73,0.0,0.0,5.03,2.09,0.0,0.0,0.0,5.22,0.0,6.08,5.27,4.07,2.96,5.06,3.66,4.89,62.5
42,88,Alexis Mac Allister,LIV,MID,8.9,5.0,0.0,0.0,0.0,0.0,4.67,0.0,4.44,0.0,0.0,3.72,2.41,0.0,0.0,0.0,3.39,0.0,3.76,3.68,3.23,2.67,3.26,2.92,3.49,46.64
43,20,Gabriel Dos Santos,ARS,DEF,9.3,3.11,0.0,0.0,0.0,6.15,0.0,2.7,0.0,0.0,5.31,0.0,3.56,0.0,0.0,5.38,0.0,4.79,0.0,3.16,3.51,2.44,5.23,3.75,5.3,54.389999999999986
44,3421,Guglielmo Vicario,TOT,GK,7.0,0.0,0.0,5.2,5.3,0.0,0.0,0.0,0.0,4.58,5.26,0.0,0.0,4.67,0.0,0.0,3.31,0.0,5.41,4.47,5.36,5.84,4.7,5.57,4.38,64.05
45,1359,Levi Colwill,CHE,DEF,7.5,3.07,0.0,0.0,0.0,4.87,0.0,0.0,0.0,3.05,0.0,2.46,2.72,0.0,0.0,0.0,3.49,0.0,3.06,4.46,5.86,4.54,5.29,5.15,4.62,52.63999999999999
46,3382,Dominik Szoboszlai,LIV,MID,9.0,5.28,0.0,0.0,0.0,0.0,5.03,0.0,4.5,0.0,0.0,4.06,2.75,0.0,0.0,0.0,4.11,0.0,4.53,4.36,3.71,3.1,3.68,3.27,3.91,52.290000000000006
