sky_id,quick_ref,sky_pos,ffstuff_team,sky_value,sky_status,own,1k_own,spreadex_player,review_player,ffstuff_player,fpl_id,fpl_code,tff_id,fanteam_id,fbref_code,fbref_player,short_team,FW,LW,RW,AM,DM,LB,CB,RB,GK,CM,WB,LM,RM,pos_sum,pos_g,pos_xg,pos_npxg,pos_a,pos_sot,pos_pass,pos_tack,pos_og,pos_yc,pos_rc,pos_p_start_given_mins,pos_p_60_given_start,pos_p_90_given_start,fin_skill,on_pens,past_g_weight,past_xg_weight,past_npxg_weight,past_a_weight,past_sot_weight,past_pass_weight,past_tack_weight,past_yc_weight,noise_factor,sv_per_sot,games_in_min_sample,apps_in_min_sample,sample_xmins,sample_p_start,sample_p_60_given_start,sample_p_90_given_start,bl_g,bl_xg,bl_npxg,bl_a,bl_pass,bl_tack,bl_sot,bl_yc,bl_rc,bl_og,bl_sv_per_sot,bl_xmin,bl_p_start,bl_p_60_given_start,bl_p_90_given_start,pos_bl_p_60_given_start,pos_bl_p_90_given_start,pos_open_cross,pos_key_pass,pos_successful_dribbles,pos_fouls_drawn,pos_clearances,pos_blocks,pos_recoveries,pos_interceptions,pos_net_tack,pos_elts,pos_tackled,pos_offsides,pos_fouls_committed,bl_open_cross,bl_key_pass,bl_successful_dribbles,bl_fouls_drawn,bl_clearances,bl_blocks,bl_recoveries,bl_interceptions,bl_net_tack,bl_elts,bl_tackled,bl_offsides,bl_fouls_committed,bl_pass_comp%,past_open_cross_weight,past_key_pass_weight,past_successful_dribbles_weight,past_fouls_drawn_weight,past_clearances_weight,past_blocks_weight,past_recoveries_weight,past_interceptions_weight,past_net_tack_weight,past_elts_weight,past_tackled_weight,past_offsides_weight,past_fouls_committed_weight,bl_winning_goal,bl_bcc,bl_g_outside_box,bl_bcm,bl_eltg,bl_eltfkg,bl_eltpen,bl_s_off_t,bl_fpl_a,bl_p_30_pass,bl_p7079_pass_comp,bl_p8089_pass_comp,bl_p90100_pass_comp,fpl_pos,fpl_value,bl_bps,market_odds_g,market_odds_a
397,"Palmer,Cole",MID,Chelsea,6.5,A,18.14,99.9,Cole Palmer,Palmer,"Palmer,Cole",362.0,244851.0,244851.0,242906.0,dc7f8a28,Cole Palmer,CHE,0.09,0.0,0.46,0.37,0.07,0.0,0.0,0.0,0,0.01,0.0,0.0,0.0,1.0,0.2658821661769258,0.2596557305808556,0.2340526136185312,0.1975613386458129,0.7947272223254872,36.91427398785285,1.5388153251882208,0.0006489321999745409,0.14682716556642594,0.0034429590724330333,0.6485677031880777,0.9017931286420947,0.3918438753282657,1.03,0.8,0.6114440178992947,0.6428487423116241,0.6349916739846666,0.42799366998818866,1.0,1.0,1.0,0.5530427436790275,1.3885559821007054,0.0,37,26,54,0.59,0.59,0.3,0.4523600606747776,0.44962577150086946,0.30824966337531723,0.28320123308515627,37.884413066267825,0.9494287975485552,1.1733746365992082,0.22739032541372978,0.005039959571058221,0.0009499363725861336,0.0,79,0.5781999999999999,0.88,0.34,0.9,0.38,1.8950890999999994,1.9464814999999998,4.1316792,1.9238076000000004,0.745902,1.1183286,5.1937374,0.6644831999999999,0.30559980000000003,0.013623000000000001,4.195488000000001,0.30827530000000003,1.1794212,1.4133188395356326,2.102980006379581,3.887983281770393,1.4250895364649954,0.5273053432489363,0.8125228465553527,3.893193950190994,0.6921197761878454,0.9203564664709833,0.05280772546380288,3.8597098322538264,0.2795065770242362,1.026871759185417,80.66190476190475,0.5142789938492993,0.5142789938492993,0.5142789938492993,0.5142789938492993,0.9309701106721627,0.9309701106721627,0.9309701106721627,0.9309701106721627,0.9309701106721627,0.5142789938492993,0.5142789938492993,0.34252411309325526,0.5142789938492993,0.10175349196594605,0.5914462346800515,0.044962577150086946,0.2637857541268296,0.010561545092760576,0.005280772546380288,0.005280772546380288,1.139198676309911,0.34180658842005207,0.72,0.26,0.19,0.08,3.0,61.0,21.33,0.46,0.29
351,"Salah,Mohamed",MID,Liverpool,11.5,A,32.91,98.5,Mohamed Salah,Salah,"Salah,Mohamed",308.0,118748.0,118748.0,45106.0,e342ad68,Mohamed Salah,LIV,0.14,0.01,0.85,0.01,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.38407031975206063,0.3743147041839795,0.341749070558748,0.2816519440637622,1.0601887052570973,32.94356728134973,1.2909839383187682,8.651850319476244e-06,0.09673859334609984,0.002513332326846545,0.6512999321889887,0.9012359062437815,0.3934137891843171,0.97,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,40,34,71,0.82,0.78,0.57,0.6544967351139196,0.6578887871219922,0.4947508837775418,0.3180257660548509,28.15359427948435,0.42238897092182726,1.4277360343385,0.0,0.0,0.0,0.0,72,0.8036,0.89,0.48,0.9,0.38,2.9661,2.574255,5.0633856,2.1928752,0.6072872000000001,1.034332,4.4444816,0.5668,0.27596400000000004,0.010784799999999999,5.296177799999999,0.53028,0.9801792,1.3840984289065084,2.1346147339249146,3.558438945685617,0.9797122748819929,0.06959370379423736,0.7372378465949067,3.343976083837051,0.09169103831883527,0.5370945588462931,0.0007081648525095995,4.533884305899741,0.49365722452263294,0.4461718405675571,75.41898734177212,0.9343367654004154,0.9343367654004154,0.9343367654004154,0.9343367654004154,1.0,1.0,1.0,1.0,1.0,0.9343367654004154,0.9343367654004154,0.8270086242858934,0.9343367654004154,0.16995298717926463,0.6131601249949414,0.06578887871219923,0.5330627667809709,0.00014163297050191992,7.081648525095996e-05,7.081648525095996e-05,1.4718928189056701,0.4365701883079991,0.47,0.24,0.11,0.01,3.0,134.0,23.56,,
1280,"Haaland,Erling",FOR,Man City,12.0,A,72.49,96.4,Erling Haaland,Haaland,"Haaland,Erling",355.0,223094.0,223094.0,1677501.0,1f44ac21,Erling Haaland,MCI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.5477400000000001,0.5905800000000001,0.5324400000000001,0.19278000000000006,1.4152950998393874,27.626700000000007,0.5646200000000001,0.0,0.10366000000000002,0.0015000000000000005,0.6600000000000001,0.9100000000000003,0.4800000000000001,1.07,0.9,1.0,1.0,1.0,0.818931753868398,1.0,1.0,1.0,0.9832560422422066,1.0,0.0,39,32,68,0.74,0.74,0.62,0.8729228235783897,0.8989988324201175,0.7333344218014672,0.20089206743769883,11.214388816604222,0.14797814455945357,1.4564303607913764,0.08501769409616954,0.0008209633887951123,0.0,0.0,82,0.7252,0.9,0.55,0.91,0.48,0.91035,1.63251,3.8947,2.3188,0.56684,0.53206,1.924,0.15392,0.07252,0.00444,4.2313,0.9333,0.9153800000000001,0.361563087842246,1.1772265987875081,1.5080879503541178,1.1351686611203526,0.5519405639083899,0.37250680952082743,1.5180224148792814,0.042057972107113914,0.17644107276755225,0.0006233689901924519,1.7087909932276268,0.4494693934359977,0.8271557946746764,71.334375,0.8596015787854838,0.8596015787854838,0.8596015787854838,0.8596015787854838,1.0,1.0,1.0,1.0,1.0,0.8596015787854838,0.8596015787854838,0.6664138091822414,0.8596015787854838,0.250723098796542,0.33769871713457583,0.08989988324201176,0.6694101342083498,0.00012467379803849038,6.233689901924519e-05,6.233689901924519e-05,1.3611498698984825,0.3352054116937892,0.0,0.0,0.0,0.0,4.0,143.0,27.68,0.88,0.21
13,"Saliba,William",DEF,Arsenal,9.0,A,37.16,84.0,0,Saliba,"Saliba,William",20.0,462424.0,462424.0,1677493.0,972aeb2a,William Saliba,ARS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.06849999988387076,0.0739799998594225,0.0739799998594225,0.02877000033005149,0.1888338759737478,56.82599997879638,1.1009300035100202,0.012999999955386385,0.13284000011202476,0.0060999999891142775,0.9299999996430909,0.969999999955386,0.9099999994646364,1.0,0.0,1.0,1.0,1.0,0.9105695891650022,1.0,1.0,1.0,1.0,1.0,0.0,39,31,72,0.79,0.79,0.79,0.0,0.010126103068807762,0.010126103068807762,0.015513610307815765,66.1385108648039,1.1616976287402947,0.03295701704681246,0.1295902006555012,0.005088915105483287,0.010845228895459998,0.0,85,0.7742,0.96,0.85,0.97,0.91,0.27811,0.35483000000000003,0.49896,0.7005600000000001,3.48969,1.08847,4.78108,1.06177,0.22784000000000001,0.044500000000000005,0.28224,0.05206,0.67462,0.07812163026857058,0.17003284166917887,0.4274897966907985,0.4931670179895867,2.1227611453931545,0.8258899556704656,5.830672780410435,0.6731867935726614,1.1239747551438095,0.089414382803829,0.2359665200353192,0.014650220318564432,0.6229924727293875,91.57634408602149,0.9602840107873084,0.9602840107873084,0.9602840107873084,0.9602840107873084,1.0,1.0,1.0,1.0,1.0,0.9602840107873084,0.9602840107873084,0.7492131849057861,0.9602840107873084,0.0030378309206423285,0.046386612994248656,0.0010126103068807764,0.010126103068807762,0.0178828765607658,0.0089414382803829,0.0089414382803829,0.03295701704681246,0.02740217128136905,0.92,0.03,0.03,0.59,2.0,59.0,18.87,,
369,"van Dijk,Virgil",DEF,Liverpool,9.9,A,24.63,79.4,Virgil van Dijk,Van Dijk,"van Dijk,Virgil",313.0,97032.0,97032.0,23238.0,e06683ca,Virgil van Dijk,LIV,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.07500000000000001,0.081,0.081,0.0315,0.20936174235842642,62.238,1.28648,0.013,0.13776,0.0061,0.93,0.97,0.91,1.02,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,40,37,82,0.9,0.9,0.9,0.03558993842492324,0.05695625780250702,0.08347812890125351,0.057987599338123426,75.107181049433,1.1651982092942657,0.34103617264831565,0.026159312350580596,0.0010272576115641432,0.0021892375328416164,0.0,84,0.882,0.96,0.9,0.97,0.91,0.3045,0.3885,0.54648,0.76728,4.07784,1.2719200000000002,5.58688,1.24072,0.26624000000000003,0.052000000000000005,0.30912,0.056999999999999995,0.78832,0.0,0.29015550089942205,0.0850227686358415,0.2725357612759235,4.16731295883831,1.3026330486900501,5.067056173895755,1.1354365005229339,1.1715684102010553,0.02681600518586672,0.052446060973646916,0.05190192292275176,0.5920313406670117,89.98494623655913,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8825242301646289,1.0,0.01742861488756715,0.07802647456297893,0.005695625780250703,0.05583946843383041,0.005363201037173345,0.0026816005185866724,0.0026816005185866724,0.3343491888708977,0.038792364138513544,0.94,0.05,0.05,0.52,2.0,66.0,18.68,0.11,0.07
525,"Heung-Min,Son",MID,Tottenham,9.7,A,23.49,79.1,Son Heung-Min,Son,"Heung-Min,Son",516.0,85971.0,85971.0,23472.0,92e7e919,Son Heung-min,TOT,0.81,0.17,0.0,0.01,0.0,0.0,0.0,0.0,0,0.01,0.0,0.01,0.0,1.0,0.4018061783777809,0.42666223681814663,0.38384803369269527,0.15922653928932434,1.088334089874216,22.78478896775793,0.9218457989540547,2.902901174740214e-05,0.13378979155497406,0.004370010510267549,0.6604393990726883,0.9064889422166941,0.4643636945069702,1.15,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,38,35,77,0.89,0.89,0.45,0.43080627762234447,0.3463728471935937,0.3304677700117377,0.2777497578333909,26.981802061480124,0.5273315374330839,0.9796617306731661,0.0,0.0,0.0,0.0,84,0.8722,0.91,0.46,0.91,0.48,1.0275292999999999,1.3991306,3.2299974000000002,1.7444448,0.8100540000000002,0.8514287999999999,3.2900040000000006,0.303696,0.12794760000000002,0.006879600000000002,3.3607476000000003,0.6631275000000001,1.2895416000000006,1.053985161286306,1.9320870322536399,2.5638911430122744,1.0763150959420136,0.11876114537882167,0.2613714417238632,2.4593852907075804,0.3258128613782982,0.5714526357875803,0.00013079669508163735,2.7227974885795447,0.6064924809713865,0.4415745576480744,77.03066666666668,0.9809877470955234,0.9809877470955234,0.9809877470955234,0.9809877470955234,1.0,1.0,1.0,1.0,1.0,0.9809877470955234,0.9809877470955234,0.8567837002944254,0.9809877470955234,0.1388513806540495,0.5524591975217577,0.03463728471935937,0.3030154521841198,2.615933901632747e-05,1.3079669508163735e-05,1.3079669508163735e-05,0.8518797658027532,0.3653696137545787,0.43,0.21,0.09,0.02,3.0,101.0,22.13,,
398,"Rodri,",MID,Man City,9.4,A,23.4,73.1,Rodri,Rodri,"Rodri,",365.0,220566.0,220566.0,132974.0,6434f10d,Rodri,MCI,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0,0.01,0.0,0.0,0.03,1.0,0.12483046120942727,0.11798368607071646,0.10267295660201095,0.10934372986115985,0.386496569713136,77.37297244181083,1.6546287366806964,0.003909342918958902,0.17702284079493646,0.002912409737659339,0.7577558695133507,0.9094963657509552,0.6445489178816411,1.09,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,39,34,71,0.79,0.79,0.62,0.17886315017138124,0.13157785593648616,0.1357889279682431,0.1546309569665991,100.7495351066623,2.0021310519849744,0.6882507084803869,0.20031173026250507,0.0037556236579026443,0.0050411934019613455,0.0,84,0.7742,0.9,0.63,0.91,0.65,1.0920987,1.5980238,2.3345079999999996,1.873383,1.0835005999999998,0.9668321999999999,4.7833008,0.9527574,0.27754439999999997,0.017552799999999997,1.7759389999999995,0.0695997,0.9712351999999999,0.1904796516321181,1.3320631998730907,1.7330139841987182,1.028627746233126,1.4993799968686343,0.8120507223982245,7.45423533947567,0.791230317686555,2.0154535262063047,0.09826215024937988,0.8512132037869781,0.11653089506517897,1.3663298015053278,90.98749999999998,0.970305219856544,0.970305219856544,0.970305219856544,0.970305219856544,1.0,1.0,1.0,1.0,1.0,0.970305219856544,0.970305219856544,0.8459104453059991,0.970305219856544,0.043025958891230974,0.37514675693487176,0.013157785593648616,0.12071362929952857,0.019652430049875977,0.009826215024937988,0.009826215024937988,0.6314226683306302,0.21541195397835616,0.96,0.04,0.04,0.59,3.0,56.0,21.0,0.14,0.15
1247,"Solanke,Dominic",FOR,Bournemouth,7.8,A,13.7,69.2,Dominic Solanke,Solanke,"Solanke,Dominic",85.0,154566.0,154566.0,230753.0,e77dc3b2,Dominic Solanke,BOU,0.92,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.30481047693771185,0.32645804999148914,0.2940414781988307,0.11283560032244914,0.850766159159354,12.53142761853484,0.8201000972128433,2.9430981193187266e-07,0.15546742972817434,0.005949975295059678,0.6599882304087953,0.9083614110812755,0.4725954564394237,0.94,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,38,38,89,1.0,1.0,0.71,0.32336140388445994,0.4175490116979231,0.3863621753367491,0.11934512984058775,10.71658043037857,0.7877961048575379,0.9508045504589214,0.05098108502547636,0.0019527535956061276,9.659108063008575e-08,0.0,74,0.98,0.98,0.62,0.91,0.48,0.6151596,0.9637859999999999,1.7823048000000001,1.0128528,0.7742304,0.7643836,2.8373616000000004,0.23896,0.1069552,0.0061800000000000015,1.89958,0.5126736000000001,1.2487308000000001,0.2891169248946265,0.9578537830385524,3.2336796675075883,1.3132483829578763,1.2947502454364677,0.727559893803943,2.659631920587318,0.17503197183018554,0.7151107236973133,0.0,3.82438580976126,0.3945496759355651,1.2465099098541894,72.53113207547175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9310092694174898,1.0,0.13331893344496323,0.26929972821978504,0.04175490116979231,0.434002314188031,0.0,0.0,0.0,1.011494202615874,0.22288253256709512,0.0,0.0,0.0,0.0,4.0,73.0,18.88,,
1256,"van Hecke,Jan Paul",DEF,Brighton,6.7,A,3.64,50.6,0,Van Hecke,"van Hecke,Jan Paul",150.0,469142.0,469142.0,2209114.0,4fd08daa,Jan Paul van Hecke,BHA,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0,0.04,0.0,0.0,0.0,1.0,0.0555739273725187,0.05965539805876338,0.059217700065254605,0.024999971380456665,0.18532350091802524,64.3359716449605,1.1819257601694835,0.012561804279981782,0.15313025225649418,0.008967049647545551,0.9245226995231076,0.968174379129399,0.9008714577336885,0.97,0.0,0.0,0.7394963025646479,0.7394963025646479,0.5102756324773239,1.0,1.0,1.0,0.6715266656930826,2.0,0.0,40,30,60,0.65,0.65,0.65,0.0555739273725187,0.042477401139986194,0.042363379194317125,0.02176875334399471,80.49845890089149,1.8103895337299776,0.15890352832819266,0.1907895579894757,0.01101355146489383,0.015428717735199774,0.0,79,0.637,0.95,0.8,0.97,0.91,0.24825840000000002,0.3174952,0.6250816,0.8291712,3.5493636,1.1379852000000001,5.047333200000001,1.1101968000000002,0.24206040000000004,0.045495600000000004,0.3713996,0.0411148,0.7246560000000001,0.13429377768140663,0.3216400833379989,0.4964158853485269,0.7591071977240389,2.9626745844207676,1.984891150390858,5.198465788544221,1.0707990477170573,1.823020883558689,0.10576708187859966,0.24749721342642741,0.023071823618174808,0.7280172600518544,84.17884615384615,0.6017644039210118,0.6017644039210118,0.6017644039210118,0.6017644039210118,1.0,1.0,1.0,1.0,1.0,0.6017644039210118,0.6017644039210118,0.4388438319492054,0.6017644039210118,0.012327743345546281,0.0858522091704984,0.004247740113998619,0.04367358679826508,0.021153416375719936,0.010576708187859968,0.010576708187859968,0.16381807044143573,0.04542357313733891,0.94,0.2,0.19,0.23,2.0,41.0,17.69,,
1072,"Romero,Cristian",DEF,Tottenham,7.9,A,12.83,48.0,0,Romero,"Romero,Cristian",511.0,221632.0,221632.0,241952.0,a3d94a58,Cristian Romero,TOT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.05949961172922675,0.06425952998801006,0.06425952998800967,0.024991103506431987,0.1742166971206286,56.82591838379852,1.3359763949526198,0.012999828274754476,0.15416050040736312,0.009099937492010535,0.9299986261980243,0.9699998282747504,0.9099979392970319,1.03,0.0,1.0,1.0,1.0,0.8830152905473567,1.0,1.0,1.0,1.0,1.0,0.0,38,31,69,0.74,0.74,0.74,0.07025114206061224,0.044356687416968195,0.044356687416968195,0.02653870189155681,77.45668880789964,2.083806454274392,0.1472444903540049,0.2606303728781513,0.015268157941893082,0.021811515902246705,0.0,84,0.7252,0.95,0.83,0.97,0.91,0.24157,0.30821,0.49896,0.7005600000000001,4.23468,1.3208400000000002,5.801760000000001,1.2884400000000003,0.27648,0.054000000000000006,0.28224,0.045219999999999996,0.81864,0.030247360060633163,0.27205533828168854,0.517363144755499,0.7251832120908769,3.7303599384715205,1.4672596285060124,6.655454075331336,1.4638133715467354,2.194758190306288,0.06903998626117108,0.33775329213524574,0.03526513600232754,1.1061092342874665,88.27536231884059,0.8747884254641174,0.8747884254641174,0.8747884254641174,0.8747884254641174,1.0,1.0,1.0,1.0,1.0,0.8747884254641174,0.8747884254641174,0.7177337519164908,0.8747884254641174,0.013706216411843173,0.07464851004331134,0.00443566874169682,0.043064745065017666,0.013807997252234217,0.006903998626117108,0.006903998626117108,0.14295581587767464,0.04991370361676799,0.94,0.08,0.08,0.43,2.0,52.0,18.38,,
