,Pos,ID,Name,BV,SV,Team,code,fbref,22-23,Review Team Name,team_name,Full Team Name,fbref_team_name,538 Team Name,fbref_name,Squad,fbref_pos,90s_2223,G_2223,xG_2223,Gp90_2223,npGp90_2223,A_2223,Ap90_2223,npxGp90_2223,xAp90_2223,ycp90_2223,rcp90_2223,-9999,pass_2223,passp90_2223,passacc_2223,tack_2223,tackp90_2223,sot_2223,sotp90_2223,savep90_2223,off_k,pass_for_k,tack_for_k,sot_for_k,yc_for_k,bl_xMins,spreadex_g,spreadex_a,on_pens,45s,pc_game_time,spreadex_gp90,spreadex_gw,spreadex_ap90,spreadex_aw,pens_p90,pen_gp90,spreadex_npgp90,npxg_2223,tmbl_npxgp90,tmbl_ap90,tmbl_sotp90,tmbl_tackp90,tmbl_passp90,tmbl_ycp90,tmbl_rcp90,fin_2223,bl_npgp90,bl_ap90,bl_sotp90,bl_tackp90,bl_passp90,bl_yc,bl_rc,bl_penscore,bl_pensave,bl_og,FPL ID,SKY ID,TFF ID,SKY Player Name,SKY Pos,SKY Value
0,D,1,Cédric,4.2,4.2,Fulham,58822.0,839c14e1,1.0,Fulham,FUL,Fulham,Fulham,Fulham,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.04,0.04,0.11,1.65,41.0,0.15,0.0,1,0.04,0.04,0.11,1.65,41.0,0.15,0.0,0.78,0.17,0.01,1,33,58822.0,"Soares,Cédric",DEF,7.6
1,G,2,Leno,4.5,4.5,Fulham,80201.0,2628fd2b,2.0,Fulham,FUL,Fulham,Fulham,Fulham,Bernd Leno,Fulham,GK,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2628fd2b,568.0,28.4,77.5,0.0,0.0,0.0,0.0,3.86,0.94,0.88,0.96,0.92,0.84,86.8,0.0,0.0,0.0,45,0.96,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.0,0.01,0.0,0.03,21.2,0.05,0.0,1,0.0,0.0,0.0,0.0,27.72,0.05,0.0,0.78,0.17,0.01,2,3,80201.0,"Leno,Bernd",GK,6.6
2,D,105,Duffy,4.3,4.3,Fulham,61933.0,7314bba4,105.0,Fulham,FUL,Fulham,Fulham,Fulham,Shane Duffy,Fulham,FWDF,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7314bba4,2.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.04,0.04,0.11,1.65,41.0,0.15,0.0,1,0.04,0.04,0.11,1.61,40.55,0.15,0.0,0.78,0.17,0.01,105,971,61933.0,"Duffy,Shane",DEF,7.2
3,M,200,Cairney,4.7,4.7,Fulham,76357.0,a8748947,200.0,Fulham,FUL,Fulham,Fulham,Fulham,Tom Cairney,Fulham,MF,5.2,0.0,0.6,0.0,0.0,0.0,0.0,0.12,0.24,0.1923076923076923,0.0,a8748947,342.0,65.8,85.5,13.0,2.5,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.624,0.13,0.11,0.45,1.84,30.4,0.15,0.0,1,0.13,0.15,0.15,2.28,54.01,0.15,0.0,0.78,0.17,0.01,200,265,76357.0,"Cairney,Tom",MID,6.7
4,D,201,Ream,4.5,4.5,Fulham,82514.0,28b40c9c,201.0,Fulham,FUL,Fulham,Fulham,Fulham,Tim Ream,Fulham,DF,22.0,1.0,0.3,0.05,0.05,0.0,0.0,0.01,0.0,0.09090909090909091,0.0,28b40c9c,1073.0,48.8,86.0,21.0,0.95,2.0,0.09,0.0,0.94,0.88,0.96,0.92,0.84,84.2,0.0,0.0,0.0,45,0.94,0.0,0,0.0,0,0.178,0.0,0.0,0.22,0.04,0.04,0.11,1.65,41.0,0.15,0.0,1,0.02,0.01,0.09,1.01,48.13,0.15,0.0,0.78,0.17,0.01,201,261,82514.0,"Ream,Tim",DEF,6.6
5,M,202,Knockaert,4.7,4.7,Fulham,83543.0,6c679c6d,202.0,Fulham,FUL,Fulham,Fulham,Fulham,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.13,0.11,0.45,1.84,30.4,0.15,0.0,1,0.13,0.11,0.45,1.84,30.4,0.15,0.0,0.78,0.17,0.01,202,249,83543.0,"Knockaert,Anthony",MID,6.5
6,M,203,Chalobah,4.4,4.4,Fulham,89085.0,422862ea,203.0,Fulham,FUL,Fulham,Fulham,Fulham,Nathaniel Chalobah,Fulham,MF,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.71,0.0,0.0,10.0,422862ea,4.0,40.0,80.0,1.0,10.0,1.0,7.5,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.071,0.13,0.11,0.45,1.84,30.4,0.15,0.0,1,0.13,0.11,0.6,2.01,30.6,0.15,0.0,0.78,0.17,0.01,203,952,89085.0,"Chalobah,Nathaniel",MID,6.5
7,M,204,Kebano,5.4,5.4,Fulham,92259.0,18b999f4,204.0,Fulham,FUL,Fulham,Fulham,Fulham,Neeskens Kebano,Fulham,FW,7.9,0.0,0.5,0.0,0.0,3.0,0.38,0.06,0.17,0.0,0.0,18b999f4,139.0,17.6,73.9,12.0,1.52,2.0,0.25,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.474,0.13,0.11,0.45,1.84,30.4,0.15,0.0,1,0.1,0.14,0.3,1.59,20.56,0.15,0.0,0.78,0.17,0.01,204,240,92259.0,"Kebano,Neeskens",MID,7.0
8,M,205,De Cordova-Reid,5.5,5.5,Fulham,96994.0,0f7533cd,205.0,Fulham,FUL,Fulham,Fulham,Fulham,Bobby Reid,Fulham,FWDF,19.3,4.0,3.4,0.21,0.21,1.0,0.05,0.18,0.06,0.3626943005181347,0.0,0f7533cd,477.0,24.7,69.4,29.0,1.5,9.0,0.47,0.0,0.94,0.88,0.96,0.92,0.84,69.2,0.0,0.0,0.0,45,0.77,0.0,0,0.0,0,0.178,0.0,0.0,3.474,0.13,0.11,0.45,1.84,30.4,0.15,0.0,1,0.16,0.08,0.47,1.53,25.26,0.15,0.0,0.78,0.17,0.01,205,266,96994.0,"De Cordova-Reid,Bobby",MID,6.8
9,D,206,Bryan,4.4,4.4,Fulham,101105.0,af69e7f0,206.0,Fulham,FUL,Fulham,Fulham,Fulham,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.04,0.04,0.11,1.65,41.0,0.15,0.0,1,0.04,0.04,0.11,1.65,41.0,0.15,0.0,0.78,0.17,0.01,206,250,101105.0,"Bryan,Joe",DEF,6.5
10,G,207,Gazzaniga,4.0,4.0,Fulham,102884.0,63d17038,207.0,Fulham,FUL,Fulham,Fulham,Fulham,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.86,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.0,0.01,0.0,0.03,21.2,0.05,0.0,1,0.0,0.01,0.0,0.03,21.2,0.05,0.0,0.78,0.17,0.01,207,556,102884.0,"Gazzaniga,Paulo",GK,6.4
11,D,208,Kongolo,3.9,3.9,Fulham,109434.0,1f9a3a04,208.0,Fulham,FUL,Fulham,Fulham,Fulham,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.88,0.96,0.92,0.84,60.0,0.0,0.0,0.0,45,0.67,0.0,0,0.0,0,0.178,0.0,0.0,0.0,0.04,0.04,0.11,1.65,41.0,0.15,0.0,1,0.04,0.04,0.11,1.65,41.0,0.15,0.0,0.78,0.17,0.01,208,729,109434.0,"Kongolo,Terence",DEF,6.3
