gameweek,start_date
1,2023-08-11
2,2023-08-18
3,2023-08-25
4,2023-09-01
5,2023-09-08
6,2023-09-15
7,2023-09-22
8,2023-09-29
9,2023-10-06
10,2023-10-13
11,2023-10-20
12,2023-10-27
13,2023-11-03
14,2023-11-10
15,2023-11-17
16,2023-11-24
17,2023-12-01
18,2023-12-08
19,2023-12-15
20,2023-12-22
21,2023-12-29
22,2024-01-05
23,2024-01-12
24,2024-01-19
25,2024-01-26
26,2024-02-02
27,2024-02-09
28,2024-02-16
29,2024-02-23
30,2024-03-01
31,2024-03-08
32,2024-03-15
33,2024-03-22
34,2024-03-29
35,2024-04-05
36,2024-04-12
37,2024-04-19
38,2024-04-26
39,2024-05-03
40,2024-05-10
41,2024-05-17
