ffstuff_team,fbref_team,short_team,review_team,bl_g_for,bl_g_for_k,bl_g_against,bl_g_against_k,bl_gd,bl_xg_for,bl_xg_for_k,bl_xg_against,bl_xg_against_k,bl_pass_for,bl_pass_for_k,bl_pass_against,bl_pass_against_k,bl_tack_for,bl_tack_for_k,bl_tack_against,bl_tack_against_k,bl_sot_for,bl_sot_for_k,bl_sot_against,bl_sot_against_k,bl_save_for,bl_save_for_k,bl_save_against,bl_save_against_k,bl_pk_att_for,bl_pk_att_for_k,bl_pk_att_against,bl_pk_att_against_k,bl_og_for,bl_og_for_k,bl_og_against,bl_og_against_k,bl_yc_for,bl_yc_for_k,bl_yc_against,bl_yc_against_k,bl_rc_for,bl_rc_for_k,bl_rc_against,bl_rc_against_k,home_adv_g,home_adv_pass,nik_g_for,nik_g_against,elevenify_g_for,elevenify_g_against,spreadex_ssn_g_for,bl_g_for_nv,bl_g_against_nv,bl_g_for_k_nv,bl_g_against_k_nv,bl_gd_nv,bl_xg_for_nv,bl_xg_against_nv,bl_xg_for_k_nv,bl_xg_against_k_nv,spreadex_g_for
Man City,Manchester City,MCI,Man City,2.22,1.51,0.91,0.62,1.31,2.22,1.51,0.91,0.62,624.35,1.66,276.11,0.72,11.35,0.72,14.29,0.88,5.78604,1.4436227544910178,2.474265,0.6212850906324027,1.63,0.61,3.32,1.24,0.22,1.74,0.09,0.7,0.04,1.0,0.04,1.0,1.33,0.73,2.18,1.16,0.01,0.3,0.01,0.3,1.09,1.02,2.14,0.92,2.33,0.82,92,2.25,0.84,1.59,0.58,1.41,2.13,0.88,1.51,0.61,2.36
Liverpool,Liverpool,LIV,Liverpool,2.15,1.47,1.2,0.82,0.95,2.15,1.47,1.2,0.82,483.75,1.29,278.78,0.73,15.69,1.0,18.22,1.13,5.525880000000001,1.3787125748502995,3.507415,0.8807078652288453,2.8,1.05,3.22,1.2,0.19,1.5,0.11,0.86,0.04,1.0,0.04,1.0,1.53,0.84,2.11,1.13,0.02,0.61,0.02,0.61,1.11,0.99,1.98,1.33,2.03,1.15,77,2.0,1.22,1.41,0.84,0.78,1.97,1.3,1.4,0.9,1.99
Arsenal,Arsenal,ARS,Arsenal,2.01,1.37,0.9,0.61,1.11,2.01,1.37,0.9,0.61,478.91,1.28,288.37,0.76,14.49,0.92,16.55,1.02,5.120480000000001,1.2775648702594813,2.8593574999999998,0.7179813736757947,2.65,0.99,3.32,1.24,0.18,1.42,0.11,0.86,0.04,1.0,0.04,1.0,1.46,0.8,2.05,1.09,0.02,0.61,0.02,0.61,1.15,1.04,2.19,1.11,1.98,1.14,79,1.95,1.19,1.37,0.82,0.77,1.88,1.19,1.33,0.82,2.04
Newcastle,Newcastle Utd,NEW,Newcastle,1.75,1.19,1.45,0.99,0.3,1.75,1.19,1.45,0.99,372.21,0.99,379.21,0.99,15.72,1.0,16.22,1.0,4.6947600000000005,1.1713473053892216,3.9208425,0.9845190341244274,2.22,0.83,3.3,1.23,0.16,1.26,0.11,0.86,0.04,1.0,0.04,1.0,1.62,0.89,1.98,1.06,0.02,0.61,0.02,0.61,1.19,1.04,1.84,1.18,1.73,1.09,68,1.8,1.09,1.27,0.75,0.72,1.9,1.11,1.35,0.76,1.77
Brighton,Brighton,BHA,Brighton,1.68,1.15,1.37,0.93,0.31,1.68,1.15,1.37,0.93,534.83,1.42,335.66,0.88,13.82,0.88,16.47,1.02,5.134600000000001,1.2810878243512975,3.6113975,0.9068177511693907,2.31,0.86,4.28,1.59,0.16,1.26,0.12,0.94,0.04,1.0,0.04,1.0,1.67,0.91,1.99,1.06,0.03,0.91,0.03,0.91,1.1,1.01,1.83,1.39,1.69,1.32,64,1.83,1.32,1.29,0.91,0.51,1.94,1.36,1.37,0.94,1.67
Man Utd,Manchester Utd,MUN,Man Utd,1.65,1.13,1.49,1.02,0.16,1.65,1.13,1.49,1.02,340.0,0.91,435.0,1.14,16.08,1.02,16.13,1.0,4.7895199999999996,1.1949900199600798,4.000565,1.0045372620175357,2.3,0.86,3.79,1.41,0.16,1.26,0.12,0.94,0.04,1.0,0.04,1.0,1.81,0.99,1.92,1.02,0.03,0.91,0.03,0.91,1.17,1.0,1.89,1.33,1.75,1.35,70,1.72,1.35,1.21,0.93,0.37,1.81,1.4,1.28,0.96,1.82
Tottenham,Tottenham,TOT,Spurs,1.75,1.19,1.54,1.05,0.21,1.75,1.19,1.54,1.05,479.52,1.28,273.56,0.72,17.62,1.12,17.03,1.05,4.76976,1.1900598802395208,4.1352875000000004,1.0383659265392116,3.04,1.14,3.07,1.14,0.15,1.19,0.13,1.02,0.04,1.0,0.04,1.0,1.77,0.97,2.07,1.1,0.03,0.91,0.03,0.91,1.13,1.02,1.62,1.39,1.72,1.43,69,1.66,1.48,1.17,1.02,0.18,1.56,1.41,1.11,0.97,1.79
Chelsea,Chelsea,CHE,Chelsea,1.67,1.14,1.39,0.95,0.28,1.67,1.14,1.39,0.95,472.12,1.26,318.04,0.83,18.08,1.15,18.73,1.16,4.489560000000001,1.1201497005988026,3.9562124999999995,0.9934004003708351,2.68,1.0,3.03,1.13,0.12,0.95,0.12,0.94,0.04,1.0,0.04,1.0,2.01,1.11,1.93,1.03,0.03,0.91,0.03,0.91,1.11,1.01,1.56,1.39,1.57,1.29,67,1.36,1.33,0.95,0.91,0.03,1.36,1.41,0.96,0.97,1.75
Aston Villa,Aston Villa,AVL,Aston Villa,1.57,1.07,1.36,0.93,0.21,1.57,1.07,1.36,0.93,404.83,1.08,333.03,0.87,13.44,0.85,17.79,1.1,4.27928,1.067684630738523,3.6463975,0.9156062108421155,2.35,0.88,2.49,0.93,0.11,0.87,0.12,0.94,0.04,1.0,0.04,1.0,1.89,1.04,1.87,1.0,0.03,0.91,0.03,0.91,1.18,1.02,1.48,1.37,1.34,1.26,55,1.32,1.28,0.93,0.88,0.04,1.34,1.35,0.95,0.93,1.45
Brentford,Brentford,BRE,Brentford,1.43,0.98,1.45,0.99,-0.02,1.43,0.98,1.45,0.99,286.48,0.76,408.65,1.07,16.09,1.02,13.34,0.82,3.8989200000000004,0.9727844311377246,4.2158425,1.0585931942231068,3.08,1.15,2.75,1.02,0.12,0.95,0.12,0.94,0.04,1.0,0.04,1.0,1.79,0.98,1.82,0.97,0.03,0.91,0.03,0.91,1.12,1.0,1.41,1.41,1.35,1.38,51,1.44,1.37,1.01,0.94,0.07,1.48,1.37,1.05,0.95,1.35
